,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
9,48,28.860556844834566,30,1.0,Medium,2.0
15,72,25.371991420073755,21,1.0,Medium,2.0
23,113,13.3898039930858,35,0.0,Low,3.0
26,117,20.397028876586905,61,0.0,Low,3.0
36,137,31.73668209408629,25,0.96,High,1.0
46,179,30.551200527414284,35,1.0,High,1.0
47,180,13.339432717476448,11,0.0,Low,3.0
50,191,31.813898689163004,16,0.625,High,1.0
52,195,31.94195024031751,12,1.0,High,1.0
59,227,20.92723729501479,13,0.0,Low,3.0
73,260,30.66652503997109,11,1.0,High,1.0
74,261,25.1975045164002,20,1.0,Low,3.0
75,262,23.497223727757383,11,1.0,Low,3.0
79,281,18.163852835403105,12,0.0,Low,3.0
90,351,21.884270827526883,28,0.0,Low,3.0
94,370,29.994064181025742,18,1.0,Medium,2.0
97,393,27.804781603273867,30,0.0,Medium,2.0
98,394,27.29746361697496,17,0.0,Medium,2.0
119,493,21.127081637440533,14,1.0,Low,3.0
128,521,29.303921365301424,54,0.0,Medium,2.0
129,522,40.69144936532054,13,1.0,High,1.0
132,529,29.731941124709287,14,0.0,Medium,2.0
136,537,23.354930254578463,21,0.0,Low,3.0
138,554,20.60730023067315,15,0.0,Low,3.0
149,588,21.353053865498655,14,0.0,Low,3.0
165,650,16.103070915772104,18,1.0,Low,3.0
166,651,16.491167942327362,11,1.0,Low,3.0
182,711,21.87770738553353,16,0.0,Low,3.0
192,754,27.5133270895547,51,1.0,Medium,2.0
227,881,21.748654138330778,322,0.8509316770186336,Low,3.0
229,885,20.10075192804208,110,0.0,Low,3.0
232,901,17.0162411089738,13,0.0,Low,3.0
234,907,19.067160478789788,18,0.0,Low,3.0
241,937,19.70416239364907,103,0.0,Low,3.0
251,984,25.408793973308704,36,1.0,Medium,2.0
254,998,22.763581547511325,26,1.0,Low,3.0
275,1069,15.953095465754918,26,1.0,Low,3.0
280,1123,29.50738991572531,255,0.0,Medium,2.0
281,1126,27.21519415229207,31,0.0,Medium,2.0
283,1131,30.706496519054596,18,0.0,High,1.0
303,1224,22.79528320598004,31,0.0,Low,3.0
304,1225,26.7420917447292,40,0.0,Medium,2.0
307,1229,30.352742929614255,19,0.0,Medium,2.0
311,1234,32.49288174018728,62,0.0,High,1.0
318,1272,20.195406458947964,103,1.0,Low,3.0
319,1273,15.669335780777024,14,1.0,Low,3.0
334,1356,29.940504427887333,13,1.0,Medium,2.0
335,1357,23.03510478721389,13,0.0,Low,3.0
339,1394,30.90628346685618,15,1.0,High,1.0
350,1510,20.083996151906074,14,0.0,Low,3.0
356,1526,30.253478602094038,20,1.0,Medium,2.0
376,1646,27.843357830469433,13,0.0,Medium,2.0
395,1814,40.932437199242145,14,1.0,High,1.0
421,1923,27.911218506241354,15,1.0,Medium,2.0
424,1927,26.621461707949578,48,0.6666666666666666,Medium,2.0
426,1940,21.066014344525467,12,1.0,Low,3.0
430,1970,15.176771672026804,12,1.0,Low,3.0
431,1971,15.253343981451353,11,1.0,Low,3.0
434,1997,16.66063425295806,13,1.0,Low,3.0
436,2003,27.98921041219639,48,1.0,Medium,2.0
444,2037,27.74371262827101,93,0.8924731182795699,Medium,2.0
454,2076,22.772479474860692,27,1.0,Low,3.0
456,2100,18.027043349546787,11,0.0,Low,3.0
464,2144,20.71123268240962,51,1.0,Low,3.0
470,2213,20.014007038819326,88,1.0,Low,3.0
475,2254,22.723113813370677,15,1.0,Low,3.0
481,2290,31.831377108410493,38,1.0,High,1.0
501,2330,16.043883664793288,14,1.0,Low,3.0
505,2339,36.611796022519854,29,1.0,High,1.0
521,2432,8.841337255376432,11,0.0,Low,3.0
523,2434,14.62587935288633,52,1.0,Low,3.0
539,2542,27.348259209025905,16,0.0,Medium,2.0
543,2550,19.373973168554127,38,1.0,Low,3.0
549,2577,15.964024460019694,16,1.0,Low,3.0
550,2578,16.726142796520445,12,1.0,Low,3.0
563,2626,18.20567798622287,11,0.0,Low,3.0
586,2773,18.90451333965493,11,0.0,Low,3.0
594,2814,30.968124180069243,110,0.0,High,1.0
612,2866,29.5627278918789,42,1.0,Medium,2.0
659,3047,20.32073763757437,12,0.0,Low,3.0
662,3122,36.87934184356879,20,0.0,High,1.0
672,3171,25.280680370123207,12,1.0,Medium,2.0
682,3224,33.314101923845875,32,1.0,High,1.0
694,3291,31.102405786677927,18,1.0,High,1.0
711,3345,27.615878414180525,16,1.0,Medium,2.0
733,3406,25.075381356585368,16,1.0,Low,3.0
758,3518,14.990244912984387,11,1.0,Low,3.0
762,3536,20.28187478738966,16,0.0,Low,3.0
777,3589,20.925520306592702,60,1.0,Low,3.0
778,3590,20.83557349111024,19,1.0,Low,3.0
779,3591,22.440819642012055,25,1.0,Low,3.0
783,3649,32.176395591904644,18,0.0,High,1.0
789,3660,17.047074302957466,23,0.43478260869565216,Low,3.0
790,3662,18.4748546180186,18,0.0,Low,3.0
802,3690,16.625907058360564,23,1.0,Low,3.0
808,3703,27.282900953033575,15,1.0,Medium,2.0
809,3704,23.7285981883311,12,0.0,Low,3.0
864,3986,29.416629019749692,18,0.0,Medium,2.0
868,3997,30.55304152996777,17,1.0,High,1.0
878,4050,22.401101790718645,15,1.0,Low,3.0
884,4086,22.922707728016807,13,0.0,Low,3.0
908,4207,9.266184206906082,15,0.0,Low,3.0
915,4216,24.995795490747234,316,0.3227848101265823,Low,3.0
935,4293,27.51519963772814,19,0.0,Medium,2.0
940,4308,24.480605355622593,64,1.0,Low,3.0
975,4470,24.80062391163452,68,0.0,Low,3.0
976,4471,16.555102777936444,45,0.0,Low,3.0
986,4561,20.487435863857517,36,1.0,Low,3.0
1002,4623,15.163924606434724,31,1.0,Low,3.0
1003,4625,12.615893159444068,51,0.0,Low,3.0
1025,4682,33.25430670848079,14,0.0,High,1.0
1029,4694,30.5481691025151,62,1.0,High,1.0
1046,4801,26.923295437467353,32,0.0,Medium,2.0
1048,4805,25.446177280149616,37,0.0,Medium,2.0
1049,4806,29.727609232871426,50,0.0,Medium,2.0
1074,4936,43.64912369268972,12,0.8333333333333334,High,1.0
1077,4942,30.149788782897108,24,0.0,Medium,2.0
1086,4962,17.535480222273403,11,1.0,Low,3.0
