Name_ID,Track_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
Maui: Honokowai: T#293: CPs=33,293,25.35820548627574,33,0.0,Low,3.0
Maui: Honokahua: T#299: CPs=86,299,22.995203017870327,86,0.0,Low,3.0
Maui: Launiupoko: T#302: CPs=292,302,31.566108350984923,292,0.0,High,1.0
Maui: Makawao: T#304: CPs=241,304,21.13415706136176,241,0.979253112033195,Low,3.0
Maui: Spreckelsville: T#305: CPs=27,305,26.565653129937555,27,0.0,Medium,2.0
Maui: Wailea: T#307: CPs=258,307,32.38155780660263,258,0.0,High,1.0
Maui: Hali'imaile: T#309: CPs=310,309,22.7916664445838,310,0.8419354838709677,Low,3.0
Maui: Huelo: T#310: CPs=424,310,17.9169766194712,424,0.41745283018867924,Low,3.0
Maui: Ha'iku: T#311: CPs=1082,311,19.479696201123534,1082,0.8761552680221811,Low,3.0
Maui: Hana: T#316: CPs=290,316,21.683996308274512,290,0.0,Low,3.0
Maui: South Wailuku: T#321: CPs=53,321,27.212009059323265,53,0.0,Medium,2.0
Maui: Waihee-Waikapu: T#322: CPs=224,322,20.985081937397776,224,0.0,Low,3.0
Maui: Pukalani: T#323: CPs=614,323,22.799038749810432,614,1.0,Low,3.0
Maui: Kahoma: T#324: CPs=42,324,38.60839734133699,42,0.0,High,1.0
Maui: Kula: T#325: CPs=1075,325,28.59726919748045,1075,0.9181395348837209,Medium,2.0
