Name_ID,BlockGp_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
Oahu: : BkGp#9: CPs=24,9,34.88382764288814,24,36.867142857142845,100.0,0.0,20.771497978446337,21.292755872814528,50.0333266087186,3.2648843102921323,9.852316960339342,100.0,18.09923097024496,0.0,4.744224422442245,0.0,0.0,93.21586230576933,100.0,1.0,High,1.0
Oahu: : BkGp#11: CPs=42,11,35.775219886618004,42,16.293095238095237,85.66666666666667,0.0,27.755670982815726,52.716973108763156,37.22534629215273,13.360993054432177,11.55737333139059,97.50347448521086,29.200121048655234,14.285714285714286,61.05610561056105,43.214285714285715,10.214285714285714,52.8987593039982,19.45465334886079,0.9761904761904762,High,1.0
Oahu: : BkGp#27: CPs=24,27,28.595319642186652,24,31.548819444444458,74.91666666666667,0.0,27.671589007066334,33.00350612055763,48.315492865088935,11.064344500828815,48.110684085920944,93.75536562521552,9.91962766854747,0.0,2.103960396039605,0.0,0.0,59.28233026536529,17.8327276292448,0.0,Medium,2.0
Oahu: : BkGp#33: CPs=146,33,26.384091425146547,146,36.348571428571546,100.0,0.0,33.804665245261795,12.162498747655928,50.086620186277145,5.82005171838333,3.7332502931660128,99.98801551933195,15.164556403730806,0.0,8.971924589719238,0.0,2.4863013698630136,37.63438877212648,15.944618528257687,0.0,Medium,2.0
BI: : BkGp#43: CPs=114,43,31.925010452499563,114,28.659498746867218,0.0,0.0,7.0403049469098855,31.315221905122932,8.999313354126535,20.993665865571813,45.231335332293476,27.31174646709492,36.9044904537221,25.43859649122807,16.710092061837756,45.1578947368421,95.6140350877193,29.27989636050803,92.144075430149,1.0,High,1.0
BI: : BkGp#46: CPs=29,46,34.62394758074538,29,33.44333333333336,81.44827586206897,0.0,37.53290655348369,5.073677938288294,10.013962782311353,3.77180594085173,6.442311171686753,97.2810207291125,15.378679526616384,6.896551724137931,8.091498805052916,63.724137931034484,98.82758620689656,25.857789354485195,60.19962343256602,1.0,High,1.0
BI: : BkGp#47: CPs=119,47,23.627377833632735,119,30.017739095638234,39.64705882352941,0.0,17.921955878036993,8.258237671929681,9.73030869413628,7.303716376932973,10.349708291748371,72.32828082904827,11.32122058323905,20.168067226890756,22.630834512022606,33.554621848739494,51.403361344537814,24.218032044005323,19.184902117688438,0.7142857142857143,Low,3.0
Oahu: : BkGp#66: CPs=37,66,31.477269999729817,37,30.165,32.4054054054054,0.0,83.79430576159213,3.2287426259615906,46.06409077291717,6.519955802500712,4.951175522424952,78.04691243584357,18.193688171440545,0.0,66.17607706716615,33.0,0.0,38.51499812713158,62.575968303293,1.0,Medium,2.0
Oahu: : BkGp#71: CPs=43,71,31.584269283690215,43,19.845741971207094,8.511627906976743,0.0,14.326624702193046,41.805195311761885,41.36987065440038,21.79007493863023,28.36534038473404,37.6908909340412,12.048399774712184,97.67441860465117,13.815335021874283,33.0,32.23255813953488,60.65287345554742,42.21935673877894,0.0,High,1.0
Oahu: : BkGp#84: CPs=82,84,30.55408873851528,82,18.50184959349593,41.84146341463415,0.0,59.33572224757124,35.53858727211532,19.50546781060488,5.947597325644337,14.348136105760297,78.32370837844392,14.36853381631658,0.0,30.4032842308621,24.548780487804876,25.353658536585368,99.75697537252452,21.091655223880906,0.0,Medium,2.0
BI: : BkGp#90: CPs=259,90,29.606058502554546,259,32.2933149476008,0.0,0.0,8.660982024352238,15.661977365880665,9.389220583373467,15.778281052423646,23.535532771212083,46.37267075889659,55.79861635895043,11.96911196911197,17.921174356817954,40.77220077220077,95.48648648648648,31.687510005583505,68.36985658798233,0.9922779922779923,Medium,2.0
BI: : BkGp#91: CPs=39,91,23.225996494679528,39,33.362857142857145,0.0,0.0,8.744427578551035,7.800280271774654,8.616010360321262,12.9091828011364,17.444328460544323,16.32317281312231,16.560550279769075,0.0,86.5955826351866,11.0,0.0,52.50687317807519,99.7526783935345,1.0,Low,3.0
BI: : BkGp#92: CPs=199,92,25.761539827762146,199,32.05705671213217,0.0,0.0,9.146121147719095,5.5395661665804425,9.030371366767215,10.588845000461287,40.036749525106906,32.214216679141146,49.04533360289677,0.0,44.08677048609381,31.507537688442213,14.57286432160804,36.7080201410583,97.65118440618704,1.0,Medium,2.0
BI: : BkGp#93: CPs=106,93,26.39613971206353,106,29.350431266846403,0.0,0.0,6.676884659156145,35.81436089252699,8.517080174723992,10.011929970536102,15.525638358383969,15.397735988991812,57.93516063627339,0.0,15.710816364655326,33.0,60.37735849056604,36.42910308732781,97.59173550302857,1.0,Medium,2.0
BI: : BkGp#94: CPs=37,94,23.772569884066304,37,32.94711068211067,0.0,0.0,6.284941185817105,27.203010081791266,7.949185691675941,11.099251454245618,7.903357671448073,10.300484515198226,16.119646456124745,0.0,97.75220765319777,12.486486486486486,0.0,50.98392816509838,99.33150810186672,1.0,Low,3.0
Oahu: : BkGp#98: CPs=35,98,23.678569442981942,35,18.639736054421768,10.457142857142857,0.0,45.35258458407672,21.872436145652102,20.705213753563754,7.966656095347894,10.354330129558457,54.60968852494907,9.968492967580033,0.0,13.550212164073555,27.34285714285714,20.742857142857144,100.0,17.294903525630595,0.6285714285714286,Low,3.0
Oahu: : BkGp#105: CPs=25,105,22.24016428428066,25,16.564447619047613,0.0,0.0,10.65709773416429,30.994129656377794,27.355322402454064,6.4484421997000645,24.761012697422437,27.7359033216326,11.635857087929116,84.0,24.000000000000004,0.0,0.0,84.05732796663146,7.633087863131123,0.0,Low,3.0
Oahu: : BkGp#111: CPs=36,111,35.14979441583783,36,31.669034391534385,69.44444444444444,0.0,72.82109739767775,16.365851055179306,41.790582454194606,13.740983134078137,40.55922290821308,83.27885315227735,15.0008964148518,2.7777777777777777,17.93179317931794,31.166666666666668,55.916666666666664,24.844367926246704,45.088473084278775,0.0,High,1.0
Oahu: : BkGp#112: CPs=28,112,21.618708499710287,28,27.811173469387768,3.5714285714285716,0.0,13.484132671488467,32.387142827227336,43.17947682601724,3.6782737685013793,18.519252889503395,56.49605710413412,8.209347112849125,0.0,4.702970297029703,4.714285714285714,64.82142857142857,51.34684873222004,12.977517439863107,0.0,Low,3.0
