Name_ID,BlockGp_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
Oahu: : BkGp#9: CPs=24,9,34.88382764288814,24,1.0,High,1.0
Oahu: : BkGp#11: CPs=42,11,35.775219886618004,42,0.9761904761904762,High,1.0
Oahu: : BkGp#27: CPs=24,27,28.595319642186652,24,0.0,Medium,2.0
Oahu: : BkGp#33: CPs=146,33,26.384091425146547,146,0.0,Medium,2.0
BI: : BkGp#43: CPs=114,43,31.925010452499563,114,1.0,High,1.0
BI: : BkGp#46: CPs=29,46,34.62394758074538,29,1.0,High,1.0
BI: : BkGp#47: CPs=119,47,23.627377833632735,119,0.7142857142857143,Low,3.0
Oahu: : BkGp#66: CPs=37,66,31.477269999729817,37,1.0,Medium,2.0
Oahu: : BkGp#71: CPs=43,71,31.584269283690215,43,0.0,High,1.0
Oahu: : BkGp#84: CPs=82,84,30.55408873851528,82,0.0,Medium,2.0
BI: : BkGp#90: CPs=259,90,29.606058502554546,259,0.9922779922779923,Medium,2.0
BI: : BkGp#91: CPs=39,91,23.225996494679528,39,1.0,Low,3.0
BI: : BkGp#92: CPs=199,92,25.761539827762146,199,1.0,Medium,2.0
BI: : BkGp#93: CPs=106,93,26.39613971206353,106,1.0,Medium,2.0
BI: : BkGp#94: CPs=37,94,23.772569884066304,37,1.0,Low,3.0
Oahu: : BkGp#98: CPs=35,98,23.678569442981942,35,0.6285714285714286,Low,3.0
Oahu: : BkGp#105: CPs=25,105,22.24016428428066,25,0.0,Low,3.0
Oahu: : BkGp#111: CPs=36,111,35.14979441583783,36,0.0,High,1.0
Oahu: : BkGp#112: CPs=28,112,21.618708499710287,28,0.0,Low,3.0
BI: : BkGp#140: CPs=65,140,21.07275435916472,65,1.0,Low,3.0
BI: : BkGp#141: CPs=155,141,19.682310641901235,155,0.9741935483870968,Low,3.0
BI: : BkGp#142: CPs=26,142,20.432526244545684,26,1.0,Low,3.0
BI: : BkGp#143: CPs=46,143,26.911089895031065,46,1.0,Medium,2.0
BI: : BkGp#144: CPs=83,144,22.048295380483367,83,1.0,Low,3.0
BI: : BkGp#145: CPs=65,145,25.885267128397746,65,0.7076923076923077,Medium,2.0
BI: : BkGp#146: CPs=43,146,26.136259175542058,43,1.0,Medium,2.0
BI: : BkGp#147: CPs=156,147,20.234953909404595,156,0.9166666666666666,Low,3.0
Oahu: : BkGp#155: CPs=30,155,25.975729502246512,30,0.0,Medium,2.0
BI: : BkGp#185: CPs=30,185,17.411165780191013,30,0.0,Low,3.0
BI: : BkGp#186: CPs=34,186,17.86387325891523,34,0.0,Low,3.0
BI: : BkGp#187: CPs=98,187,14.601723995611376,98,0.0,Low,3.0
BI: : BkGp#188: CPs=463,188,11.46724978666558,463,0.023758099352051837,Low,3.0
BI: : BkGp#189: CPs=36,189,21.334904573114045,36,0.0,Low,3.0
BI: : BkGp#190: CPs=44,190,15.759235555173621,44,0.0,Low,3.0
BI: : BkGp#191: CPs=86,191,16.511739020276615,86,0.0,Low,3.0
BI: : BkGp#192: CPs=81,192,17.271958711438607,81,0.0,Low,3.0
BI: : BkGp#193: CPs=133,193,28.078500077004033,133,0.24060150375939848,Medium,2.0
