,Uid,UserDays
0,-155.89725_19.20586,0
1,-155.89724_19.20570,0
2,-155.90023_19.20875,1
3,-155.89958_19.20908,1
4,-155.79086_19.10506,0
5,-155.79047_19.10405,0
6,-155.75784_19.12333,0
7,-155.74633_19.11318,0
8,-155.74723_19.11305,0
9,-155.75078_19.09273,0
10,-155.89549_19.20763,1
11,-155.89548_19.20741,1
12,-155.86389_19.19778,0
13,-155.86487_19.19792,0
14,-155.47667_19.20571,3
15,-155.89268_19.20675,1
16,-155.89560_19.20302,0
17,-155.77293_19.10842,0
18,-155.72036_19.13963,0
19,-155.89778_19.20785,1
20,-155.89620_19.20419,0
21,-155.89985_19.20658,1
22,-155.90019_19.20271,3
23,-155.90074_19.20338,3
24,-155.90077_19.20371,3
25,-155.90080_19.20388,3
26,-155.90090_19.20402,3
27,-155.89469_19.20448,0
28,-155.73909_19.13076,0
29,-155.76511_19.13142,1
30,-155.86346_19.19491,1
31,-155.47504_19.19330,0
32,-155.89932_19.20265,3
33,-155.87037_19.21610,0
34,-155.74451_19.10638,0
35,-155.74475_19.10630,0
36,-155.88396_19.20759,1
37,-155.89970_19.20556,3
38,-155.76402_19.11357,0
39,-155.73858_19.10653,0
40,-155.78360_19.09204,0
41,-155.75519_19.08632,0
42,-155.88237_19.19348,1
43,-155.75677_19.09078,0
44,-155.78319_19.11489,0
45,-155.89999_19.20441,3
46,-155.89987_19.20515,3
47,-155.73774_19.10733,0
48,-155.78712_19.10078,0
49,-155.79418_19.09762,1
50,-155.79560_19.09958,1
51,-155.75358_19.08409,0
52,-155.79207_19.11453,1
53,-155.77730_19.12679,0
54,-155.86303_19.19663,0
55,-155.86215_19.19665,0
56,-155.74747_19.10313,0
57,-155.75324_19.12140,0
58,-155.78636_19.09109,0
59,-155.63670_19.04375,0
60,-155.74521_19.10380,0
61,-155.78990_19.09984,0
62,-155.79240_19.09840,0
63,-155.90180_19.20631,1
64,-155.86984_19.20140,0
65,-155.87002_19.20071,0
66,-155.77006_19.11674,1
67,-155.78675_19.09963,0
68,-155.80007_19.09774,0
69,-155.74286_19.13197,0
70,-155.77196_19.10771,1
71,-155.76042_19.08995,0
72,-155.76408_19.08738,0
73,-155.79972_19.09634,1
74,-155.89586_19.20974,1
75,-155.77931_19.13516,0
76,-155.75716_19.07743,1
77,-155.89944_19.20756,1
78,-155.74814_19.11824,0
79,-155.89848_19.20920,1
80,-155.62261_19.04501,0
81,-155.73720_19.11311,0
82,-155.77665_19.14746,0
83,-155.80010_19.09669,1
84,-155.88300_19.21130,1
85,-155.63086_19.03071,0
86,-155.89486_19.20283,0
87,-155.89500_19.20321,0
88,-155.76610_19.08870,1
89,-155.76212_19.08778,0
90,-155.77469_19.11530,0
91,-155.89955_19.20359,3
92,-155.85655_19.19473,2
93,-155.85698_19.19467,2
94,-155.85831_19.19462,2
95,-155.89822_19.20748,1
96,-155.76281_19.12923,0
97,-155.89521_19.20437,0
98,-155.89796_19.20290,0
99,-155.59500_19.05975,0
100,-155.58974_19.05960,0
101,-155.77928_19.08883,0
102,-155.77935_19.08901,0
103,-155.58281_19.05955,0
104,-155.75765_19.11064,0
105,-155.76574_19.09562,1
106,-155.74656_19.11723,0
107,-155.74668_19.11755,0
108,-155.76222_19.09904,0
109,-155.90417_19.20309,3
110,-155.90401_19.20303,3
111,-155.89689_19.20278,0
112,-155.89728_19.20273,0
113,-155.89747_19.20854,1
114,-155.89868_19.20337,0
115,-155.86761_19.20027,0
116,-155.86572_19.19937,0
117,-155.47465_19.27137,3
118,-155.73765_19.11622,0
119,-155.86951_19.29686,0
120,-155.77780_19.13186,0
121,-155.62615_19.04545,0
122,-155.75858_19.09129,0
123,-155.89576_19.20583,0
124,-155.77975_19.05684,0
125,-155.87163_19.19592,1
126,-155.63820_19.03628,0
127,-155.85572_19.14104,0
128,-155.89680_19.20692,1
129,-155.75997_19.10714,0
130,-155.89893_19.20573,3
131,-155.89859_19.20746,1
132,-155.58274_19.05937,0
133,-155.58268_19.05919,0
134,-155.87097_19.27128,1
135,-155.87140_19.27209,1
136,-155.85996_19.19475,2
137,-155.76557_19.09003,1
138,-155.85956_19.19483,2
139,-155.78344_19.11482,0
140,-155.89913_19.20825,1
141,-155.90058_19.20636,1
142,-155.77633_19.14128,0
143,-155.80303_19.09945,0
144,-155.80316_19.09982,0
145,-155.77546_19.13130,0
146,-155.75580_19.09564,0
147,-155.75623_19.09495,0
148,-155.75565_19.08876,0
149,-155.86922_19.27496,1
150,-155.86512_19.20084,0
151,-155.86468_19.20078,0
152,-155.86376_19.20057,0
153,-155.86260_19.19854,0
154,-155.86255_19.19777,0
155,-155.78534_19.09445,0
156,-155.72174_19.14376,0
157,-155.78440_19.09559,0
158,-155.75585_19.10454,0
159,-155.77316_19.10978,0
160,-155.77007_19.11330,1
161,-155.90443_19.20400,3
162,-155.77988_19.11605,0
163,-155.86524_19.19993,0
164,-155.62645_19.03907,0
165,-155.78123_19.13213,0
166,-155.78096_19.12601,0
167,-155.76301_19.09707,0
168,-155.76998_19.13221,0
169,-155.77022_19.13212,0
170,-155.89962_19.20315,3
171,-155.73119_19.11879,0
172,-155.79000_19.06109,0
173,-155.74864_19.08447,0
174,-155.78108_19.08815,0
175,-155.78312_19.08835,0
176,-155.78244_19.08877,0
177,-155.89799_19.20501,0
178,-155.77903_19.09787,0
179,-155.75805_19.08521,0
180,-155.79366_19.10924,0
181,-155.79495_19.10865,0
182,-155.90136_19.20646,1
183,-155.47196_19.19937,0
184,-155.77017_19.10606,1
185,-155.76872_19.13159,1
186,-155.89765_19.20633,1
187,-155.61010_19.04397,0
188,-155.78383_19.09678,0
189,-155.77880_19.11729,0
190,-155.75775_19.10443,0
191,-155.90103_19.20547,3
192,-155.74568_19.09332,0
193,-155.58261_19.06007,0
194,-155.77905_19.09272,0
195,-155.89879_19.20453,0
196,-155.86855_19.28008,0
197,-155.76034_19.10066,0
198,-155.77569_19.10701,0
199,-155.77580_19.10733,0
200,-155.89826_19.20399,0
201,-155.89828_19.20415,0
202,-155.76227_19.10261,0
203,-155.74712_19.09924,0
204,-155.89818_19.20696,1
205,-155.76630_19.09527,1
206,-155.76159_19.08324,1
207,-155.88155_19.21130,1
208,-155.89723_19.20359,0
209,-155.89760_19.20533,0
210,-155.90133_19.20382,3
211,-155.74495_19.11278,0
212,-155.75238_19.10809,0
213,-155.75737_19.08904,0
214,-155.78672_19.11183,0
215,-155.73533_19.12075,0
216,-155.53282_19.10450,0
217,-155.75170_19.11706,0
218,-155.75810_19.13075,0
219,-155.58672_19.06111,0
220,-155.58690_19.06177,0
221,-155.77278_19.09712,0
222,-155.86711_19.29584,0
223,-155.77237_19.10121,0
224,-155.77618_19.10581,0
225,-155.76393_19.12652,1
226,-155.77254_19.09565,0
227,-155.89696_19.20889,1
228,-155.77752_19.12814,0
229,-155.56573_19.06895,0
230,-155.47578_19.20339,0
231,-155.47651_19.20358,3
232,-155.90202_19.20329,3
233,-155.90290_19.20333,3
234,-155.90304_19.20353,3
235,-155.75724_19.11577,0
236,-155.75330_19.13589,0
237,-155.75375_19.08469,0
238,-155.63056_19.04418,0
239,-155.76806_19.08589,0
240,-155.90750_19.18222,2
241,-155.75575_19.10268,0
242,-155.77107_19.10850,1
243,-155.77191_19.11083,1
244,-155.74539_19.12482,0
245,-155.75949_19.14969,0
246,-155.74177_19.12988,0
247,-155.75180_19.08121,0
248,-155.78449_19.12032,0
249,-155.74764_19.08777,0
250,-155.74847_19.08626,0
251,-155.89906_19.20742,1
252,-155.77517_19.09489,0
253,-155.90465_19.20373,3
254,-155.90480_19.20364,3
255,-155.90503_19.20339,3
256,-155.73188_19.13113,0
257,-155.73199_19.13145,0
258,-155.88113_19.20737,1
259,-155.75910_19.08624,0
