,Uid,RFish_rank
321,-155.90034_19.20862,2.0
322,-155.74852_19.09363,2.0
323,-155.77078_19.11413,3.0
324,-155.78781_19.11852,2.0
325,-155.58466_19.06016,1.0
326,-155.63352_19.03164,2.0
327,-155.63436_19.03086,1.0
328,-155.76651_19.12318,3.0
329,-155.73640_19.11284,2.0
330,-155.60722_19.06551,1.0
331,-155.76422_19.10046,3.0
332,-155.76353_19.10493,2.0
333,-155.79527_19.10630,3.0
334,-155.79295_19.11077,3.0
335,-155.79325_19.11039,3.0
336,-155.78379_19.10008,2.0
337,-155.77351_19.09689,2.0
338,-155.66096_19.01338,2.0
339,-155.78296_19.04337,3.0
340,-155.78288_19.12760,2.0
341,-155.76958_19.10096,3.0
342,-155.75452_19.13926,2.0
343,-155.77759_19.09370,3.0
344,-155.77687_19.09434,3.0
345,-155.89984_19.20761,2.0
346,-155.90035_19.20697,2.0
347,-155.74769_19.11133,2.0
348,-155.89977_19.20575,2.0
349,-155.75648_19.09488,2.0
350,-155.77800_19.07773,3.0
351,-155.74700_19.09654,2.0
352,-155.75835_19.11712,2.0
353,-155.87326_19.21588,2.0
354,-155.76568_19.13724,3.0
355,-155.74990_19.11560,2.0
356,-155.78516_19.11804,3.0
357,-155.75203_19.07733,3.0
358,-155.77346_19.09328,3.0
359,-155.78917_19.11124,3.0
360,-155.74652_19.10625,2.0
361,-155.76817_19.10035,3.0
362,-155.90089_19.20635,2.0
363,-155.78056_19.09109,3.0
364,-155.76444_19.09000,3.0
365,-155.76474_19.09071,3.0
366,-155.75352_19.08174,2.0
367,-155.75278_19.08203,2.0
368,-155.76655_19.09012,3.0
369,-155.76584_19.09076,3.0
370,-155.78454_19.09696,2.0
371,-155.88934_19.20804,2.0
372,-155.74253_19.11358,2.0
373,-155.73794_19.13113,2.0
374,-155.65942_19.04497,2.0
375,-155.78007_19.10819,3.0
376,-155.78043_19.10645,3.0
377,-155.77504_19.09453,3.0
378,-155.78843_19.10926,3.0
379,-155.81266_19.05637,3.0
380,-155.74289_19.12050,2.0
381,-155.76773_19.10686,3.0
382,-155.74154_19.10460,2.0
383,-155.74167_19.10496,2.0
384,-155.74169_19.10578,2.0
385,-155.78444_19.11603,2.0
386,-155.76064_19.10710,2.0
387,-155.75125_19.13011,2.0
388,-155.77648_19.11851,3.0
389,-155.77346_19.09443,3.0
390,-155.77163_19.09576,2.0
391,-155.76301_19.12024,2.0
392,-155.76314_19.12060,2.0
393,-155.74524_19.10614,2.0
394,-155.74549_19.10605,2.0
395,-155.88455_19.21401,2.0
396,-155.89999_19.20315,2.0
397,-155.89990_19.20339,2.0
398,-155.76646_19.12035,2.0
399,-155.79059_19.11249,2.0
400,-155.73711_19.10725,2.0
401,-155.73689_19.10747,2.0
402,-155.75030_19.09477,2.0
403,-155.48982_19.23782,3.0
404,-155.74418_19.09639,2.0
405,-155.7751_19.09247,3.0
406,-155.62941_19.05141,1.0
407,-155.63379_19.04707,2.0
408,-155.89569_19.20532,2.0
409,-155.77499_19.12691,3.0
410,-155.77747_19.11778,3.0
411,-155.77722_19.12545,2.0
412,-155.77443_19.10360,3.0
413,-155.77393_19.10222,2.0
414,-155.86402_19.16675,3.0
415,-155.90101_19.20603,2.0
416,-155.78689_19.10001,2.0
417,-155.73681_19.12780,2.0
418,-155.75618_19.09669,2.0
419,-155.77641_19.08730,3.0
420,-155.89787_19.20352,2.0
421,-155.58041_19.05895,2.0
422,-155.89524_19.20497,2.0
423,-155.90316_19.20446,2.0
424,-155.89648_19.20371,2.0
425,-155.57969_19.06121,2.0
426,-155.75196_19.13211,2.0
427,-155.75207_19.13242,2.0
428,-155.75218_19.13274,2.0
429,-155.76060_19.13422,3.0
430,-155.63455_19.03973,2.0
431,-155.77858_19.12395,2.0
432,-155.77214_19.10057,2.0
433,-155.77820_19.11049,3.0
434,-155.78311_19.08994,2.0
435,-155.78596_19.10139,2.0
436,-155.75118_19.10813,2.0
437,-155.75147_19.10561,2.0
438,-155.63224_19.03268,2.0
439,-155.74332_19.11901,2.0
440,-155.76704_19.08616,2.0
441,-155.79370_19.09450,2.0
442,-155.79433_19.09618,2.0
443,-155.79445_19.09650,2.0
444,-155.77537_19.08512,3.0
445,-155.75123_19.11398,2.0
446,-155.77079_19.11532,3.0
447,-155.58585_19.06000,1.0
448,-155.77136_19.11272,3.0
449,-155.77447_19.11791,3.0
450,-155.73804_19.10547,2.0
451,-155.75512_19.08996,2.0
452,-155.78899_19.11537,2.0
453,-155.79030_19.11381,2.0
454,-155.75651_19.11961,2.0
455,-155.78851_19.09328,2.0
456,-155.78944_19.09369,2.0
457,-155.78956_19.09401,2.0
458,-155.78968_19.09433,2.0
459,-155.89497_19.20773,2.0
460,-155.89500_19.20812,2.0
461,-155.75719_19.11957,2.0
462,-155.73691_19.11142,2.0
463,-155.73650_19.11155,2.0
464,-155.79547_19.11000,3.0
