,Uid,dist2_coast_m
0,-155.89725_19.20586,456.7540771528848
1,-155.89724_19.20570,471.80226437066733
2,-155.90023_19.20875,26.528849094937076
3,-155.89958_19.20908,25.349853045201336
4,-155.79086_19.10506,10442.497225484263
5,-155.79047_19.10405,10349.112228319129
6,-155.75784_19.12333,13173.700890944447
7,-155.74633_19.11318,12583.024426737224
8,-155.74723_19.11305,12529.946299054758
9,-155.75078_19.09273,10351.62198539102
10,-155.89549_19.20763,450.9178151261202
11,-155.89548_19.20741,464.85526818407953
12,-155.86389_19.19778,3934.822924777187
13,-155.86487_19.19792,3833.095199183099
14,-155.47667_19.20571,6352.48191748962
15,-155.89268_19.20675,759.9055790304851
16,-155.89560_19.20302,808.3926943827344
17,-155.77293_19.10842,11136.536844101493
18,-155.72036_19.13963,16443.85476640942
19,-155.89778_19.20785,245.85523096182098
20,-155.89620_19.20419,671.2646748470959
21,-155.89985_19.20658,220.01721511755215
22,-155.90019_19.20271,446.7389982842808
23,-155.90074_19.20338,352.53031834592275
24,-155.90077_19.20371,321.47922220095757
25,-155.90080_19.20388,305.582059698154
26,-155.90090_19.20402,287.28343829403195
27,-155.89469_19.20448,740.494129273739
28,-155.73909_19.13076,14668.227440310937
29,-155.76511_19.13142,13806.97919891754
30,-155.86346_19.19491,4099.598276003264
31,-155.47504_19.19330,5158.355569684212
32,-155.89932_19.20265,511.97803003939623
33,-155.87037_19.21610,2999.823763876825
34,-155.74451_19.10638,11995.445893006008
35,-155.74475_19.10630,11975.711221053076
36,-155.88396_19.20759,1587.1079127034186
37,-155.89970_19.20556,310.46504528184875
38,-155.76402_19.11357,11944.40115209707
39,-155.73858_19.10653,12311.741476014511
40,-155.78360_19.09204,9124.948919987024
41,-155.75519_19.08632,9507.050759747191
42,-155.88237_19.19348,2446.2039991549595
43,-155.75677_19.09078,9872.851401438764
44,-155.78319_19.11489,11629.282158113328
45,-155.89999_19.20441,335.20109410360544
46,-155.89987_19.20515,310.58516944563684
47,-155.73774_19.10733,12432.952601318711
48,-155.78712_19.10078,10025.672763564098
