,Uid,dist2_Streams_m
0,-155.89725_19.20586,10620.572692385877
1,-155.89724_19.20570,10630.13285200158
2,-155.90023_19.20875,10703.510969892664
3,-155.89958_19.20908,10626.297703995637
4,-155.79086_19.10506,10483.295237199567
5,-155.79047_19.10405,10412.677570745822
6,-155.75784_19.12333,7799.442680385362
7,-155.74633_19.11318,6234.395138559284
8,-155.74723_19.11305,6317.167634074486
9,-155.75078_19.09273,6052.135078181626
10,-155.89549_19.20763,10357.306309969681
11,-155.89548_19.20741,10369.603694304975
12,-155.86389_19.19778,8699.520596006065
13,-155.86487_19.19792,8749.986506247946
14,-155.47667_19.20571,172.89895852214886
15,-155.89268_19.20675,10172.051218042243
16,-155.89560_19.20302,10665.126922501287
17,-155.77293_19.10842,8761.309124627358
18,-155.72036_19.13963,5448.408728178287
19,-155.89778_19.20785,10542.285320376539
20,-155.89620_19.20419,10638.004298975147
21,-155.89985_19.20658,10801.115075859983
22,-155.90019_19.20271,11074.34222291744
23,-155.90074_19.20338,11078.943791215599
24,-155.90077_19.20371,11060.607751972033
25,-155.90080_19.20388,11052.407893857438
26,-155.90090_19.20402,11051.684465100618
27,-155.89469_19.20448,10490.696021496175
28,-155.73909_19.13076,6589.584178760572
29,-155.76511_19.13142,8893.028489257573
30,-155.86346_19.19491,8930.166640532992
31,-155.47504_19.19330,311.3086729255703
32,-155.89932_19.20265,11003.702097000632
33,-155.87037_19.21610,7684.7207314749585
34,-155.74451_19.10638,5805.700920137292
35,-155.74475_19.10630,5827.79293870293
36,-155.88396_19.20759,9387.76676604773
37,-155.89970_19.20556,10852.143164118124
38,-155.76402_19.11357,8002.1232566076305
39,-155.73858_19.10653,5214.236725742679
40,-155.78360_19.09204,9404.419503997193
41,-155.75519_19.08632,6350.676959444948
42,-155.88237_19.19348,10322.109814242314
43,-155.75677_19.09078,6608.671766980385
44,-155.78319_19.11489,9979.47442168384
45,-155.89999_19.20441,10949.06512429724
46,-155.89987_19.20515,10892.420074819029
47,-155.73774_19.10733,5159.73632521436
48,-155.78712_19.10078,9974.625492326075
49,-155.79418_19.09762,10615.428105816894
50,-155.79560_19.09958,10808.766556640916
51,-155.75358_19.08409,6148.9920100883655
52,-155.79207_19.11453,10875.402308277318
53,-155.77730_19.12679,9821.661569529451
54,-155.86303_19.19663,8748.42402546613
55,-155.86215_19.19665,8693.619515729188
56,-155.74747_19.10313,6019.0144976567335
57,-155.75324_19.12140,7270.674911034914
58,-155.78636_19.09109,9674.100501519257
59,-155.63670_19.04375,1084.4691721557936
60,-155.74521_19.10380,5803.070341395049
61,-155.78990_19.09984,10231.823466380034
62,-155.79240_19.09840,10451.421730245997
63,-155.90180_19.20631,10989.17932521646
64,-155.86984_19.20140,8783.558978127092
65,-155.87002_19.20071,8854.014022283496
66,-155.77006_19.11674,8714.24696612287
67,-155.78675_19.09963,9905.157907491523
68,-155.80007_19.09774,11224.611431164649
69,-155.74286_19.13197,6980.223439903884
70,-155.77196_19.10771,8644.84957906352
71,-155.76042_19.08995,6964.414308805402
72,-155.76408_19.08738,7293.620206329797
73,-155.79972_19.09634,11158.602634712319
74,-155.89586_19.20974,10258.022363024915
75,-155.77931_19.13516,10406.100859772967
76,-155.75716_19.07743,6407.503431137348
77,-155.89944_19.20756,10705.542291892836
78,-155.74814_19.11824,6635.341829489705
79,-155.89848_19.20920,10522.02664501085
80,-155.62261_19.04501,2352.945648236075
81,-155.73720_19.11311,5351.979671366675
82,-155.77665_19.14746,10860.191327879358
83,-155.80010_19.09669,11204.788789185866
84,-155.88300_19.21130,9054.80529926491
85,-155.63086_19.03071,1044.525657864717
86,-155.89486_19.20283,10615.466151871617
87,-155.89500_19.20321,10601.81983721137
88,-155.76610_19.08870,7526.6635584426
89,-155.76212_19.08778,7096.689096996601
90,-155.77469_19.11530,9131.056691798034
91,-155.89955_19.20359,10963.28396017075
92,-155.85655_19.19473,8548.298348095956
93,-155.85698_19.19467,8577.589276662333
94,-155.85831_19.19462,8655.69477765627
95,-155.89822_19.20748,10603.898832937055
96,-155.76281_19.12923,8564.220965063405
97,-155.89521_19.20437,10542.295669098956
98,-155.89796_19.20290,10871.840683530632
99,-155.59500_19.05975,672.9634700084758
100,-155.58974_19.05960,409.5887949431231
101,-155.77928_19.08883,8899.253381226943
102,-155.77935_19.08901,8909.765979319323
103,-155.58281_19.05955,173.31305360811683
104,-155.75765_19.11064,7265.834658625082
105,-155.76574_19.09562,7654.181480445124
106,-155.74656_19.11723,6437.732113605869
107,-155.74668_19.11755,6463.6199524692465
108,-155.76222_19.09904,7410.788788908416
109,-155.90417_19.20309,11394.816497723841
110,-155.90401_19.20303,11383.966306813523
111,-155.89689_19.20278,10789.13929908339
112,-155.89728_19.20273,10825.17790155804
113,-155.89747_19.20854,10473.187322608863
114,-155.89868_19.20337,10902.385910311612
115,-155.86761_19.20027,8726.007533694758
116,-155.86572_19.19937,8677.157721908385
117,-155.47465_19.27137,57.58654627830779
118,-155.73765_19.11622,5550.625541914832
119,-155.86951_19.29686,7034.33340328538
120,-155.77780_19.13186,10100.908385629156
121,-155.62615_19.04545,2135.7925413358134
122,-155.75858_19.09129,6806.1040917016735
123,-155.89576_19.20583,10494.444009700916
124,-155.77975_19.05684,8909.296153705225
125,-155.87163_19.19592,9366.622282980848
126,-155.63820_19.03628,589.6233556691312
127,-155.85572_19.14104,13948.297663688916
128,-155.89680_19.20692,10514.781739611692
129,-155.75997_19.10714,7399.41447862821
130,-155.89893_19.20573,10773.87288701211
131,-155.89859_19.20746,10637.16597074486
132,-155.58274_19.05937,193.29179926432224
133,-155.58268_19.05919,213.53356991710376
134,-155.87097_19.27128,6057.052754270915
135,-155.87140_19.27209,6119.4934125926
136,-155.85996_19.19475,8738.431948224654
137,-155.76557_19.09003,7497.57751899003
138,-155.85956_19.19483,8707.342983219296
139,-155.78344_19.11482,10002.45097505759
140,-155.89913_19.20825,10636.95266334195
141,-155.90058_19.20636,10879.425476172026
142,-155.77633_19.14128,10462.545913765163
143,-155.80303_19.09945,11568.319562282331
144,-155.80316_19.09982,11590.165536709099
145,-155.77546_19.13130,9852.513142501875
146,-155.75580_19.09564,6650.91445050641
147,-155.75623_19.09495,6672.39161701426
148,-155.75565_19.08876,6445.774890377137
149,-155.86922_19.27496,5970.349683794172
150,-155.86512_19.20084,8511.044060886845
151,-155.86468_19.20078,8487.31852798901
152,-155.86376_19.20057,8445.679234988622
153,-155.86260_19.19854,8550.73142181469
154,-155.86255_19.19777,8616.908524692251
155,-155.78534_19.09445,9633.801196838249
156,-155.72174_19.14376,5767.748285167549
157,-155.78440_19.09559,9562.275050842798
158,-155.75585_19.10454,6913.644287912635
159,-155.77316_19.10978,8817.235319445012
160,-155.77007_19.11330,8602.605994496074
161,-155.90443_19.20400,11361.263544251411
162,-155.77988_19.11605,9678.633418954132
163,-155.86524_19.19993,8597.621837417357
164,-155.62645_19.03907,1858.9334306062253
165,-155.78123_19.13213,10440.598891490936
166,-155.78096_19.12601,10144.426350969383
167,-155.76301_19.09707,7422.517981332986
168,-155.76998_19.13221,9384.297513269112
169,-155.77022_19.13212,9402.424395734628
170,-155.89962_19.20315,10997.358644160255
171,-155.73119_19.11879,5120.970272965671
172,-155.79000_19.06109,9904.419660005064
173,-155.74864_19.08447,5638.844331017722
174,-155.78108_19.08815,9076.897495638068
175,-155.78312_19.08835,9292.468103795494
176,-155.78244_19.08877,9227.4195828963
177,-155.89799_19.20501,10738.564258687678
178,-155.77903_19.09787,9069.551455762663
179,-155.75805_19.08521,6631.160157739113
180,-155.79366_19.10924,10906.35156930365
181,-155.79495_19.10865,11014.657657566802
182,-155.90136_19.20646,10940.74248081336
183,-155.47196_19.19937,151.41344608835652
184,-155.77017_19.10606,8423.399090463694
185,-155.76872_19.13159,9235.443706059703
186,-155.89765_19.20633,10625.725863361347
187,-155.61010_19.04397,1707.6284539312353
188,-155.78383_19.09678,9532.158144434
189,-155.77880_19.11729,9609.155317674653
190,-155.75775_19.10443,7107.091094158675
191,-155.90103_19.20547,10973.243710067392
192,-155.74568_19.09332,5559.217101291301
193,-155.58261_19.06007,152.67237094247884
194,-155.77905_19.09272,8946.563341117371
195,-155.89879_19.20453,10838.028082247663
196,-155.86855_19.28008,6077.571203906917
197,-155.76034_19.10066,7284.719420424972
198,-155.77569_19.10701,9013.491485377055
199,-155.77580_19.10733,9032.17309132241
200,-155.89826_19.20399,10827.571208335909
201,-155.89828_19.20415,10818.230996428454
202,-155.76227_19.10261,7537.43541662544
203,-155.74712_19.09924,5905.118530467486
204,-155.89818_19.20696,10632.621166308298
205,-155.76630_19.09527,7701.032153599405
206,-155.76159_19.08324,6960.981249441696
207,-155.88155_19.21130,8933.692910135167
208,-155.89723_19.20359,10764.50446774227
209,-155.89760_19.20533,10684.12631706056
210,-155.90133_19.20382,11102.170257568989
211,-155.74495_19.11278,6082.901679040633
212,-155.75238_19.10809,6653.81847744485
213,-155.75737_19.08904,6629.66490535052
214,-155.78672_19.11183,10258.802415640457
215,-155.73533_19.12075,5602.962560817716
216,-155.53282_19.10450,1330.6443091135727
217,-155.75170_19.11706,6921.978162546268
218,-155.75810_19.13075,8217.847135802416
219,-155.58672_19.06111,217.97036436551437
220,-155.58690_19.06177,149.4398806873479
221,-155.77278_19.09712,8412.897702030765
222,-155.86711_19.29584,6762.790963444247
223,-155.77237_19.10121,8499.795912524598
224,-155.77618_19.10581,9040.459495323496
225,-155.76393_19.12652,8530.831841298785
226,-155.77254_19.09565,8347.192446555342
227,-155.89696_19.20889,10406.828567994136
228,-155.77752_19.12814,9903.338406632873
229,-155.56573_19.06895,403.5619250432012
230,-155.47578_19.20339,302.3932273962023
231,-155.47651_19.20358,350.66898937289113
232,-155.90202_19.20329,11194.901972045236
233,-155.90290_19.20333,11269.057593319012
234,-155.90304_19.20353,11268.469146825591
235,-155.75724_19.11577,7407.200844410732
236,-155.75330_19.13589,8114.799561690784
237,-155.75375_19.08469,6175.294396882525
238,-155.63056_19.04418,1658.01679635887
239,-155.76806_19.08589,7685.300453374958
240,-155.90750_19.18222,13092.394198634056
241,-155.75575_19.10268,6863.016014448486
242,-155.77107_19.10850,8571.47324644507
243,-155.77191_19.11083,8717.508982935147
244,-155.74539_19.12482,6734.909950866993
245,-155.75949_19.14969,9584.051020434776
246,-155.74177_19.12988,6747.2698323981385
247,-155.75180_19.08121,5906.663971550255
248,-155.78449_19.12032,10280.712461031993
