,X,Y,Island,TMK,Uid
0,-155.8972531,19.20586585,Hawaii,388009122,-155.89725_19.20586
1,-155.8972456,19.20570498,Hawaii,388009123,-155.89724_19.20570
2,-155.900236,19.20875897,Hawaii,388009124,-155.90023_19.20875
3,-155.8995848,19.20908627,Hawaii,388009128,-155.89958_19.20908
4,-155.7908604,19.10506236,Hawaii,392018030,-155.79086_19.10506
5,-155.7904757,19.10405946,Hawaii,392018033,-155.79047_19.10405
6,-155.7578422,19.12333499,Hawaii,392066030,-155.75784_19.12333
7,-155.7463353,19.11318104,Hawaii,392119038,-155.74633_19.11318
8,-155.7472373,19.11305479,Hawaii,392119042,-155.74723_19.11305
9,-155.75078579999996,19.09273493,Hawaii,392099038,-155.75078_19.09273
10,-155.895499,19.20763578,Hawaii,388010061,-155.89549_19.20763
11,-155.8954804,19.20741502,Hawaii,388010062,-155.89548_19.20741
12,-155.86389209999996,19.19778521,Hawaii,389009047,-155.86389_19.19778
13,-155.8648779,19.19792031,Hawaii,389009049,-155.86487_19.19792
14,-155.4766751,19.20571337,Hawaii,396018030,-155.47667_19.20571
15,-155.8926807,19.20675205,Hawaii,388012049,-155.89268_19.20675
16,-155.895609,19.20302079,Hawaii,388011009,-155.89560_19.20302
17,-155.7729399,19.10842801,Hawaii,392021041,-155.77293_19.10842
18,-155.7203696,19.13963584,Hawaii,392139018,-155.72036_19.13963
19,-155.8977834,19.2078562,Hawaii,388009097,-155.89778_19.20785
20,-155.8962045,19.20419851,Hawaii,388011037,-155.89620_19.20419
21,-155.8998515,19.20658788,Hawaii,388006101,-155.89985_19.20658
22,-155.9001933,19.20271452,Hawaii,388007005,-155.90019_19.20271
23,-155.9007455,19.20338476,Hawaii,388007012,-155.90074_19.20338
24,-155.900779,19.20371968,Hawaii,388007014,-155.90077_19.20371
25,-155.9008072,19.20388804,Hawaii,388007015,-155.90080_19.20388
26,-155.9009022,19.20402984,Hawaii,388007016,-155.90090_19.20402
27,-155.8946913,19.20448878,Hawaii,388011066,-155.89469_19.20448
28,-155.7390983,19.13076079,Hawaii,392136009,-155.73909_19.13076
29,-155.7651179,19.13142025,Hawaii,392057033,-155.76511_19.13142
30,-155.8634673,19.19491732,Hawaii,389007041,-155.86346_19.19491
31,-155.4750444,19.19330821,Hawaii,396002044,-155.47504_19.19330
32,-155.8993235,19.20265728,Hawaii,388008001,-155.89932_19.20265
33,-155.8703712,19.21610759,Hawaii,388003011,-155.87037_19.21610
34,-155.7445122,19.10638202,Hawaii,392112041,-155.74451_19.10638
35,-155.7447558,19.10630194,Hawaii,392112042,-155.74475_19.10630
36,-155.8839683,19.20759297,Hawaii,388015054,-155.88396_19.20759
37,-155.8997068,19.20556045,Hawaii,388006095,-155.89970_19.20556
38,-155.76402959999996,19.11357546,Hawaii,392070024,-155.76402_19.11357
39,-155.7385824,19.10653097,Hawaii,392106008,-155.73858_19.10653
40,-155.7836059,19.09204359,Hawaii,392003056,-155.78360_19.09204
41,-155.75519019999996,19.08632115,Hawaii,392090057,-155.75519_19.08632
42,-155.88237659999996,19.19348367,Hawaii,389013045,-155.88237_19.19348
43,-155.7567799,19.09078958,Hawaii,392100012,-155.75677_19.09078
44,-155.7831959,19.11489701,Hawaii,392029059,-155.78319_19.11489
45,-155.8999935,19.20441159,Hawaii,388007053,-155.89999_19.20441
46,-155.8998757,19.20515053,Hawaii,388007058,-155.89987_19.20515
47,-155.7377483,19.1073361,Hawaii,392106013,-155.73774_19.10733
48,-155.7871211,19.10078297,Hawaii,392013010,-155.78712_19.10078
49,-155.794185,19.09762567,Hawaii,392014010,-155.79418_19.09762
50,-155.795606,19.09958686,Hawaii,392014021,-155.79560_19.09958
51,-155.7535838,19.08409683,Hawaii,392090045,-155.75358_19.08409
52,-155.792077,19.11453995,Hawaii,392033048,-155.79207_19.11453
53,-155.7773018,19.12679114,Hawaii,392159051,-155.77730_19.12679
54,-155.8630301,19.19663772,Hawaii,389007008,-155.86303_19.19663
55,-155.86215379999996,19.19665211,Hawaii,389007010,-155.86215_19.19665
56,-155.7474796,19.10313888,Hawaii,392107072,-155.74747_19.10313
57,-155.7532423,19.12140103,Hawaii,392126065,-155.75324_19.12140
58,-155.7863693,19.09109497,Hawaii,392002021,-155.78636_19.09109
59,-155.636702,19.04375864,Hawaii,394016008,-155.63670_19.04375
60,-155.74521329999996,19.10380378,Hawaii,392107018,-155.74521_19.10380
61,-155.7899016,19.09984251,Hawaii,392013071,-155.78990_19.09984
62,-155.7924083,19.09840139,Hawaii,392014003,-155.79240_19.09840
63,-155.9018081,19.20631757,Hawaii,388006040,-155.90180_19.20631
64,-155.8698438,19.20140742,Hawaii,389013025,-155.86984_19.20140
65,-155.8700272,19.20071228,Hawaii,389013026,-155.87002_19.20071
66,-155.7700646,19.11674342,Hawaii,392065048,-155.77006_19.11674
67,-155.7867551,19.09963423,Hawaii,392013007,-155.78675_19.09963
68,-155.8000735,19.09774448,Hawaii,392015027,-155.80007_19.09774
69,-155.74286179999996,19.13197322,Hawaii,392136064,-155.74286_19.13197
70,-155.7719681,19.10771988,Hawaii,392011029,-155.77196_19.10771
71,-155.7604284,19.08995137,Hawaii,392100049,-155.76042_19.08995
72,-155.76408319999996,19.08738858,Hawaii,392094036,-155.76408_19.08738
73,-155.7997241,19.09634773,Hawaii,392015033,-155.79972_19.09634
74,-155.8958622,19.20974955,Hawaii,388010096,-155.89586_19.20974
75,-155.7793174,19.13516307,Hawaii,392164061,-155.77931_19.13516
76,-155.75716069999996,19.07743342,Hawaii,392198012,-155.75716_19.07743
77,-155.8994418,19.20756266,Hawaii,388009014,-155.89944_19.20756
78,-155.74814509999996,19.11824087,Hawaii,392125032,-155.74814_19.11824
79,-155.89848509999996,19.20920313,Hawaii,388009134,-155.89848_19.20920
80,-155.62261,19.04501644,Hawaii,394009041,-155.62261_19.04501
81,-155.7372028,19.11311729,Hawaii,392114032,-155.73720_19.11311
82,-155.7766554,19.1474623,Hawaii,392171021,-155.77665_19.14746
83,-155.8001018,19.09669041,Hawaii,392015031,-155.80010_19.09669
84,-155.8830067,19.21130612,Hawaii,388018019,-155.88300_19.21130
85,-155.63086809999996,19.03071923,Hawaii,394022014,-155.63086_19.03071
86,-155.8948676,19.20283187,Hawaii,388011057,-155.89486_19.20283
87,-155.8950096,19.20321489,Hawaii,388011059,-155.89500_19.20321
88,-155.7661042,19.0887042,Hawaii,392101071,-155.76610_19.08870
89,-155.7621222,19.08778888,Hawaii,392094020,-155.76212_19.08778
90,-155.7746903,19.11530919,Hawaii,392030038,-155.77469_19.11530
91,-155.8995556,19.20359409,Hawaii,388007068,-155.89955_19.20359
92,-155.8565567,19.19473709,Hawaii,389007025,-155.85655_19.19473
93,-155.8569832,19.19467392,Hawaii,389007026,-155.85698_19.19467
94,-155.8583101,19.19462585,Hawaii,389007029,-155.85831_19.19462
95,-155.8982294,19.20748855,Hawaii,388009071,-155.89822_19.20748
96,-155.7628148,19.12923674,Hawaii,392059026,-155.76281_19.12923
97,-155.8952107,19.20437258,Hawaii,388011053,-155.89521_19.20437
98,-155.8979632,19.20290448,Hawaii,388008009,-155.89796_19.20290
99,-155.5950004,19.05975997,Hawaii,395022006,-155.59500_19.05975
100,-155.5897469,19.05960237,Hawaii,395022009,-155.58974_19.05960
