,Uid,Swim_beach
0,,True
1,-155.94295_19.57563,True
2,-155.94606_19.57593,True
3,-155.94401_19.57986,True
4,-155.94367_19.57812,True
5,-155.94337_19.57680,True
6,-155.94342_19.57554,True
7,-155.94297_19.57689,True
8,-155.94429_19.57845,True
9,-155.94867_19.59651,True
10,-155.95657_19.59247,True
11,-155.96747_19.58197,True
12,-155.94995_19.59637,True
13,-155.95508_19.59231,True
14,-155.93998_19.59627,True
15,-155.96613_19.58000,True
16,-155.96578_19.58008,True
17,-155.96546_19.58008,True
18,-155.96551_19.58103,True
19,-155.96498_19.58095,True
20,-155.94800_19.59785,True
21,-155.94117_19.58918,True
22,-155.94439_19.58201,True
23,-155.94743_19.60421,True
24,-155.94740_19.59819,True
25,-155.94777_19.60597,True
26,-155.94370_19.59858,True
27,-155.95103_19.58600,True
28,-155.95192_19.58755,True
29,-155.94792_19.58894,True
30,-155.95571_19.59247,True
31,-155.95309_19.58945,True
32,-155.94705_19.58698,True
33,-155.95256_19.58435,True
34,-155.94624_19.59279,True
35,-155.94845_19.59209,True
36,-155.95066_19.58924,True
37,-155.95703_19.59221,True
38,-155.95706_19.59279,True
39,-155.95317_19.59340,True
40,-155.94859_19.60565,True
41,-155.94945_19.60204,True
42,-155.95034_19.59836,True
43,-155.94543_19.59828,True
44,-155.94327_19.61346,True
45,-155.94049_19.61655,True
46,-155.94192_19.61645,True
47,-155.94334_19.61678,True
48,-155.94841_19.61040,True
49,-155.94338_19.61292,True
50,-155.95299_19.58945,True
51,-155.94317_19.61346,True
52,-155.95423_19.60518,True
53,-155.95810_19.60078,True
54,-155.96373_19.59963,True
55,-155.94831_19.61310,True
56,-155.96328_19.60142,True
57,-155.96305_19.59857,True
58,-155.95419_19.60464,True
59,-155.95387_19.60403,True
60,-155.94906_19.61936,True
61,-155.94887_19.61916,True
62,-155.94888_19.61523,True
63,-155.94817_19.61694,True
64,-155.95175_19.61883,True
65,-155.94930_19.61822,True
66,-155.94841_19.61579,True
67,-155.94907_19.61569,True
68,-155.94875_19.61576,True
69,-155.94970_19.61093,True
70,-155.94854_19.61483,True
71,-155.95800_19.60078,True
72,-155.95165_19.61883,True
73,-155.94827_19.61694,True
74,-155.97010_19.59799,True
75,-155.97222_19.59553,True
76,-155.95998_19.60356,True
77,-155.95964_19.60267,True
78,-155.95869_19.60333,True
79,-155.95870_19.60494,True
80,-155.95688_19.60547,True
81,-155.96983_19.59927,True
82,-155.96003_19.60648,True
83,-155.95805_19.60919,True
84,-155.95831_19.61071,True
85,-155.96054_19.60575,True
86,-155.95970_19.60891,True
87,-155.96056_19.60736,True
88,-155.95824_19.60670,True
89,-155.95633_19.60497,True
