,Uid,WT_elev_m,Elevation_m,Dep_to_Water_m
0,-156.01668_19.68770,0.750014424324,60.8989524841,60.148938059776
1,-156.01733_19.68766,0.750014424324,60.0621566772,59.312142252876
2,-156.01361_19.67342,0.6940719485279999,25.864528655999997,25.170456707472
3,-156.02529_19.66875,0.550047039986,3.73055887222,3.180511832234
4,-156.01103_19.67432,0.74797552824,35.1777153015,34.42973977326
5,-156.01033_19.67536,0.74797552824,36.2819862366,35.53401070836
6,-156.01093_19.67534,0.74797552824,35.1246261597,34.37665063146
7,-156.00700_19.66375,0.740099906921,30.336048126199998,29.595948219279
8,-156.01550_19.67308,0.674136579037,15.0161447525,14.342008173463
9,-156.02115_19.68882,0.682593345642,36.818462371799995,36.135869026158
10,-156.01579_19.68798,0.750014424324,64.1285095215,63.37849509717601
11,-156.01533_19.68692,0.7307200431820001,66.0656661987,65.334946155518
12,-156.01534_19.68593,0.7307200431820001,59.880004882799994,59.14928483961799
13,-156.02297_19.66819,0.554368138313,5.29334115982,4.738973021506999
14,-156.01467_19.68489,0.7307200431820001,63.082485199,62.35176515581799
15,-156.02024_19.68566,0.661810100079,32.8161659241,32.154355824020996
16,-156.02014_19.68526,0.661810100079,31.9243469238,31.262536823721003
17,-156.01980_19.68382,0.661810100079,30.106962204000002,29.445152103921004
18,-156.01663_19.68566,0.7307200431820001,56.8261299133,56.095409870118
19,-156.01807_19.68863,0.682593345642,55.2018432617,54.519249916058
20,-156.01753_19.68861,0.750014424324,60.0106964111,59.260681986776
21,-156.01666_19.68893,0.750014424324,64.3634414673,63.61342704297601
22,-156.02132_19.68920,0.682593345642,34.4790916443,33.796498298658
23,-156.01452_19.67326,0.6940719485279999,19.810625076300003,19.116553127772004
24,-156.02093_19.68824,0.682593345642,36.7630081177,36.080414772058
25,-156.02073_19.68764,0.682593345642,36.4261016846,35.743508338958
26,-156.02057_19.68705,0.661810100079,35.5159835815,34.854173481421
27,-156.02043_19.68646,0.661810100079,33.5362701416,32.874460041521
28,-155.18129_19.68382,23.9764633179,591.8433837889999,567.8669204710999
29,-155.18203_19.68747,23.9069766998,599.82421875,575.9172420502
30,-155.18132_19.68315,23.9764633179,591.003295898,567.0268325801001
31,-155.18134_19.68265,23.9764633179,590.1632080080001,566.1867446901001
32,-155.18155_19.68241,24.0432338715,594.3636474609999,570.3204135894999
33,-155.11043_19.67656,11.228642463699998,194.90087890599997,183.67223644229998
34,-155.11011_19.67637,11.228642463699998,194.060791016,182.8321485523
35,-155.10980_19.67639,11.0904445648,193.220687866,182.13024330119998
36,-155.10919_19.67643,11.0904445648,191.540512085,180.45006752019998
37,-155.10921_19.67609,11.0904445648,191.540512085,180.45006752019998
38,-155.08174_19.68688,9.95962047577,94.9301681519,84.97054767613001
39,-155.08582_19.68037,10.119058609,123.91326904299999,113.79421043399998
40,-155.09716_19.68070,10.680651664700001,147.435791016,136.7551393513
41,-155.03663_19.67000,8.42367172241,42.8445892334,34.42091751099
42,-155.05158_19.66681,9.26183414459,60.486476898199996,51.22464275361
43,-155.07014_19.68495,9.325963974,52.9256668091,43.599702835100004
44,-155.06294_19.68647,9.11925315857,30.663284301799997,21.544031143229997
45,-155.07626_19.68600,9.53632068634,68.8873748779,59.35105419156
46,-155.06305_19.68868,8.87945270538,29.4031486511,20.52369594572
47,-155.06345_19.68886,8.87945270538,29.4031486511,20.52369594572
48,-155.06343_19.68866,8.87945270538,29.4031486511,20.52369594572
