,Uid,dist2_DomWells_m
0,-155.89725_19.20586,214.72685601449913
1,-155.89724_19.20570,230.35437899629125
2,-155.90023_19.20875,242.39140810084743
3,-155.89958_19.20908,218.2341077347213
4,-155.79086_19.10506,7092.108229770519
5,-155.79047_19.10405,6974.112436022042
6,-155.75784_19.12333,8576.086136769432
7,-155.74633_19.11318,7664.896266573463
8,-155.74723_19.11305,7628.252202533668
9,-155.75078_19.09273,5357.4322260335775
10,-155.89549_19.20763,253.5261148264547
11,-155.89548_19.20741,269.2668640003006
12,-155.86389_19.19778,3743.5186674718175
13,-155.86487_19.19792,3640.741062275053
14,-155.47667_19.20571,10956.933157585288
15,-155.89268_19.20675,560.8332548383191
16,-155.89560_19.20302,573.7270626505571
17,-155.77293_19.10842,6955.183660792403
18,-155.72036_19.13963,11344.322493798265
19,-155.89778_19.20785,71.01621205567302
20,-155.89620_19.20419,429.6864523776841
21,-155.89985_19.20658,187.85073057655973
22,-155.90019_19.20271,564.5343553592285
23,-155.90074_19.20338,521.0173201166588
24,-155.90077_19.20371,490.73114590333574
25,-155.90080_19.20388,476.5269543853465
26,-155.90090_19.20402,469.0720399931144
27,-155.89469_19.20448,509.11623923752853
28,-155.73909_19.13076,9742.43321007901
29,-155.76511_19.13142,9443.014976940496
30,-155.86346_19.19491,3900.447465827226
31,-155.47504_19.19330,9956.761097576018
32,-155.89932_19.20265,546.180853093212
33,-155.87037_19.21610,2963.9585184515904
34,-155.74451_19.10638,6993.679132069076
35,-155.74475_19.10630,6977.562389820992
36,-155.88396_19.20759,1431.7681284408955
37,-155.89970_19.20556,258.2539683043271
38,-155.76402_19.11357,7467.593494642563
39,-155.73858_19.10653,7220.901893725307
40,-155.78360_19.09204,5468.862668448093
41,-155.75519_19.08632,4556.239999181423
42,-155.88237_19.19348,2286.799709027284
43,-155.75677_19.09078,5010.814513233432
44,-155.78319_19.11489,7864.964713882344
45,-155.89999_19.20441,383.5395862807544
46,-155.89987_19.20515,306.05055069508063
47,-155.73774_19.10733,7336.702605406726
48,-155.78712_19.10078,6504.49840433476
49,-155.79418_19.09762,6454.850488862441
50,-155.79560_19.09958,6682.960951836309
51,-155.75358_19.08409,4357.383428365497
52,-155.79207_19.11453,8112.778398334125
53,-155.77730_19.12679,9032.04902609368
54,-155.86303_19.19663,3871.9218529389173
55,-155.86215_19.19665,3957.8218520726973
56,-155.74747_19.10313,6560.259308799863
57,-155.75324_19.12140,8416.876419878285
58,-155.78636_19.09109,5487.133838265842
59,-155.63670_19.04375,13450.652571714434
60,-155.74521_19.10380,6699.319413472545
61,-155.78990_19.09984,6522.3486489133375
62,-155.79240_19.09840,6492.426740606203
63,-155.90180_19.20631,386.8740047197097
64,-155.86984_19.20140,3025.5764253539446
65,-155.87002_19.20071,3029.1429636707403
66,-155.77006_19.11674,7840.359379375692
67,-155.78675_19.09963,6372.085275327194
68,-155.80007_19.09774,6539.329224875991
69,-155.74286_19.13197,9771.941316521326
70,-155.77196_19.10771,6864.929088939208
71,-155.76042_19.08995,4870.932375568655
72,-155.76408_19.08738,4568.916346160551
73,-155.79972_19.09634,6380.815161232141
74,-155.89586_19.20974,197.96833856971423
75,-155.77931_19.13516,9980.322283668467
76,-155.75716_19.07743,3550.8530185996638
77,-155.89944_19.20756,115.26319878735063
78,-155.74814_19.11824,8166.391657311364
79,-155.89848_19.20920,107.7039056584868
80,-155.62261_19.04501,12684.348841569168
81,-155.73720_19.11311,7952.106285185875
82,-155.77665_19.14746,11291.69678749496
83,-155.80010_19.09669,6424.70991905582
84,-155.88300_19.21130,1548.8461023998627
85,-155.63086_19.03071,14165.649857785875
86,-155.89486_19.20283,633.5141976801192
87,-155.89500_19.20321,590.4071838126844
88,-155.76610_19.08870,4717.556462265387
89,-155.76212_19.08778,4619.605074755388
90,-155.77469_19.11530,7734.6914455312635
91,-155.89955_19.20359,451.0141219852922
92,-155.85655_19.19473,4583.461916503698
93,-155.85698_19.19467,4543.755785290008
94,-155.85831_19.19462,4415.017993445988
95,-155.89822_19.20748,12.529712695759285
96,-155.76281_19.12923,9202.685207392353
97,-155.89521_19.20437,478.46677340676285
98,-155.89796_19.20290,510.68829178627027
99,-155.59500_19.05975,9485.480635112894
100,-155.58974_19.05960,9140.121686815535
101,-155.77928_19.08883,4979.391126378153
102,-155.77935_19.08901,5001.008696543205
103,-155.58281_19.05955,8702.231764612177
104,-155.75765_19.11064,7178.561634509167
105,-155.76574_19.09562,5482.508847201917
106,-155.74656_19.11723,8094.648306500012
107,-155.74668_19.11755,8125.863120726769
108,-155.76222_19.09904,5864.279375174723
109,-155.90417_19.20309,784.0327781623153
110,-155.90401_19.20303,774.5145526281343
111,-155.89689_19.20278,544.323108230187
112,-155.89728_19.20273,539.0325015550768
113,-155.89747_19.20854,38.92578739376181
114,-155.89868_19.20337,458.11555681226776
115,-155.86761_19.20027,3285.6488819898213
116,-155.86572_19.19937,3505.0169546342554
117,-155.47465_19.27137,17536.678585232108
118,-155.73765_19.11622,8257.327217342208
119,-155.86951_19.29686,2906.615450591066
120,-155.77780_19.13186,9595.186313004137
121,-155.62615_19.04545,12925.602715179506
122,-155.75858_19.09129,5038.78676091337
123,-155.89576_19.20583,328.943857371163
124,-155.77975_19.05684,2001.3836759749026
125,-155.87163_19.19592,3076.5909156743055
126,-155.63820_19.03628,13335.137316603965
127,-155.85572_19.14104,8615.100667407565
128,-155.89680_19.20692,174.66011262920804
129,-155.75997_19.10714,6772.424901205138
130,-155.89893_19.20573,204.86008175752414
131,-155.89859_19.20746,25.962226231358482
132,-155.58274_19.05937,8714.804205561652
133,-155.58268_19.05919,8727.41069067953
134,-155.87097_19.27128,5494.8607389902145
135,-155.87140_19.27209,5396.505711383213
136,-155.85996_19.19475,4247.416258416201
137,-155.76557_19.09003,4862.733788548888
138,-155.85956_19.19483,4284.007224492119
139,-155.78344_19.11482,7863.514650614202
140,-155.89913_19.20825,117.21453257284452
141,-155.90058_19.20636,267.35486562561
142,-155.77633_19.14128,10608.82881565211
143,-155.80303_19.09945,6782.320104016753
144,-155.80316_19.09982,6824.851472736311
145,-155.77546_19.13130,9500.933056841828
146,-155.75580_19.09564,5557.529408814413
147,-155.75623_19.09495,5475.546702325523
148,-155.75565_19.08876,4811.4700349549485
149,-155.86922_19.27496,5151.174791409439
150,-155.86512_19.20084,3521.3361010969843
151,-155.86468_19.20078,3566.574526380857
152,-155.86376_19.20057,3666.3570217388897
153,-155.86260_19.19854,3845.9098398743886
