,Uid,Flikr_ID,Flikr_X,Flikr_Y
96,-155.76281_19.12923,flk_78_BI,-155.774089898,18.9894051716
97,-155.89521_19.20437,flk_263_BI,-155.903033718,19.1992343076
98,-155.89796_19.20290,flk_263_BI,-155.903033718,19.1992343076
99,-155.59500_19.05975,flk_128_BI,-155.574085344,19.0264195536
100,-155.58974_19.05960,flk_138_BI,-155.559578069,19.0396868255
101,-155.77928_19.08883,flk_101_BI,-155.80685885,19.012540364
102,-155.77935_19.08901,flk_101_BI,-155.80685885,19.012540364
103,-155.58281_19.05955,flk_150_BI,-155.554462146,19.0576407308
104,-155.75765_19.11064,flk_71_BI,-155.760036499,18.980133216
105,-155.76574_19.09562,flk_86_BI,-155.783401903,18.9985937959
106,-155.74656_19.11723,flk_67_BI,-155.745897089,18.9753719454
107,-155.74668_19.11755,flk_67_BI,-155.745897089,18.9753719454
108,-155.76222_19.09904,flk_78_BI,-155.774089898,18.9894051716
109,-155.90417_19.20309,flk_267_BI,0.0,0.0
110,-155.90401_19.20303,flk_267_BI,0.0,0.0
111,-155.89689_19.20278,flk_263_BI,-155.903033718,19.1992343076
112,-155.89728_19.20273,flk_263_BI,-155.903033718,19.1992343076
113,-155.89747_19.20854,flk_271_BI,-155.898115112,19.2081781377
114,-155.89868_19.20337,flk_263_BI,-155.903033718,19.1992343076
115,-155.86761_19.20027,flk_263_BI,-155.903033718,19.1992343076
116,-155.86572_19.19937,flk_263_BI,-155.903033718,19.1992343076
117,-155.47465_19.27137,flk_213_BI,-155.500575878,19.1378438463
118,-155.73765_19.11622,flk_57_BI,-155.727016655,18.9705259003
119,-155.86951_19.29686,flk_388_BI,-155.886912534,19.2982573656
120,-155.77780_19.13186,flk_100_BI,-155.811602401,19.0126223043
121,-155.62615_19.04545,flk_96_BI,-155.588774477,19.0041291849
122,-155.75858_19.09129,flk_75_BI,-155.764691712,18.9847278318
123,-155.89576_19.20583,flk_263_BI,-155.903033718,19.1992343076
124,-155.77975_19.05684,flk_103_BI,-155.797371821,19.0123761195
125,-155.87163_19.19592,flk_254_BI,-155.907951737,19.1902902633
126,-155.63820_19.03628,flk_83_BI,-155.593792396,18.9906842297
127,-155.85572_19.14104,flk_206_BI,0.0,0.0
128,-155.89680_19.20692,flk_271_BI,-155.898115112,19.2081781377
129,-155.75997_19.10714,flk_75_BI,-155.764691712,18.9847278318
130,-155.89893_19.20573,flk_267_BI,0.0,0.0
131,-155.89859_19.20746,flk_271_BI,-155.898115112,19.2081781377
132,-155.58274_19.05937,flk_150_BI,-155.554462146,19.0576407308
133,-155.58268_19.05919,flk_150_BI,-155.554462146,19.0576407308
134,-155.87097_19.27128,flk_338_BI,-155.89209076,19.2757783078
135,-155.87140_19.27209,flk_338_BI,-155.89209076,19.2757783078
136,-155.85996_19.19475,flk_251_BI,-155.908036052,19.1857781262
137,-155.76557_19.09003,flk_86_BI,-155.783401903,18.9985937959
138,-155.85956_19.19483,flk_251_BI,-155.908036052,19.1857781262
139,-155.78344_19.11482,flk_110_BI,-155.825747485,19.0173792623
140,-155.89913_19.20825,flk_277_BI,0.0,0.0
141,-155.90058_19.20636,flk_277_BI,0.0,0.0
142,-155.77633_19.14128,flk_132_BI,-155.877592856,19.0363171598
143,-155.80303_19.09945,flk_122_BI,-155.858784705,19.0269710547
144,-155.80316_19.09982,flk_122_BI,-155.858784705,19.0269710547
145,-155.77546_19.13130,flk_102_BI,-155.802115323,19.0124583024
146,-155.75580_19.09564,flk_75_BI,-155.764691712,18.9847278318
147,-155.75623_19.09495,flk_75_BI,-155.764691712,18.9847278318
148,-155.75565_19.08876,flk_75_BI,-155.764691712,18.9847278318
149,-155.86922_19.27496,flk_338_BI,-155.89209076,19.2757783078
150,-155.86512_19.20084,flk_263_BI,-155.903033718,19.1992343076
151,-155.86468_19.20078,flk_263_BI,-155.903033718,19.1992343076
152,-155.86376_19.20057,flk_263_BI,-155.903033718,19.1992343076
153,-155.86260_19.19854,flk_263_BI,-155.903033718,19.1992343076
154,-155.86255_19.19777,flk_263_BI,-155.903033718,19.1992343076
155,-155.78534_19.09445,flk_110_BI,-155.825747485,19.0173792623
156,-155.72174_19.14376,flk_67_BI,-155.745897089,18.9753719454
157,-155.78440_19.09559,flk_111_BI,-155.821003733,19.0172976653
158,-155.75585_19.10454,flk_75_BI,-155.764691712,18.9847278318
159,-155.77316_19.10978,flk_95_BI,-155.792714927,19.0077820935
160,-155.77007_19.11330,flk_86_BI,-155.783401903,18.9985937959
161,-155.90443_19.20400,flk_267_BI,0.0,0.0
162,-155.77988_19.11605,flk_101_BI,-155.80685885,19.012540364
163,-155.86524_19.19993,flk_263_BI,-155.903033718,19.1992343076
164,-155.62645_19.03907,flk_90_BI,-155.593608653,18.9997058674
165,-155.78123_19.13213,flk_110_BI,-155.825747485,19.0173792623
166,-155.78096_19.12601,flk_110_BI,-155.825747485,19.0173792623
167,-155.76301_19.09707,flk_78_BI,-155.774089898,18.9894051716
168,-155.76998_19.13221,flk_102_BI,-155.802115323,19.0124583024
169,-155.77022_19.13212,flk_95_BI,-155.792714927,19.0077820935
170,-155.89962_19.20315,flk_267_BI,0.0,0.0
171,-155.73119_19.11879,flk_50_BI,-155.722362965,18.9659305427
172,-155.79000_19.06109,flk_100_BI,-155.811602401,19.0126223043
173,-155.74864_19.08447,flk_67_BI,-155.745897089,18.9753719454
174,-155.78108_19.08815,flk_100_BI,-155.811602401,19.0126223043
175,-155.78312_19.08835,flk_99_BI,-155.816345976,19.0127041232
176,-155.78244_19.08877,flk_99_BI,-155.816345976,19.0127041232
177,-155.89799_19.20501,flk_263_BI,-155.903033718,19.1992343076
178,-155.77903_19.09787,flk_102_BI,-155.802115323,19.0124583024
179,-155.75805_19.08521,flk_82_BI,-155.778745773,18.9939995246
180,-155.79366_19.10924,flk_117_BI,-155.844637504,19.0222163821
181,-155.79495_19.10865,flk_116_BI,-155.849381503,19.0222973927
182,-155.90136_19.20646,flk_277_BI,0.0,0.0
183,-155.47196_19.19937,flk_214_BI,-155.495830277,19.1377533592
184,-155.77017_19.10606,flk_86_BI,-155.783401903,18.9985937959
185,-155.76872_19.13159,flk_86_BI,-155.783401903,18.9985937959
186,-155.89765_19.20633,flk_271_BI,-155.898115112,19.2081781377
187,-155.61010_19.04397,flk_112_BI,-155.583847828,19.013063099
188,-155.78383_19.09678,flk_99_BI,-155.816345976,19.0127041232
189,-155.77880_19.11729,flk_102_BI,-155.802115323,19.0124583024
190,-155.75775_19.10443,flk_75_BI,-155.764691712,18.9847278318
191,-155.90103_19.20547,flk_267_BI,0.0,0.0
192,-155.74568_19.09332,flk_67_BI,-155.745897089,18.9753719454
193,-155.58261_19.06007,flk_150_BI,-155.554462146,19.0576407308
194,-155.77905_19.09272,flk_101_BI,-155.80685885,19.012540364
195,-155.89879_19.20453,flk_263_BI,-155.903033718,19.1992343076
196,-155.86855_19.28008,flk_377_BI,-155.887083318,19.2892333755
197,-155.76034_19.10066,flk_78_BI,-155.774089898,18.9894051716
198,-155.77569_19.10701,flk_95_BI,-155.792714927,19.0077820935
199,-155.77580_19.10733,flk_95_BI,-155.792714927,19.0077820935
200,-155.89826_19.20399,flk_263_BI,-155.903033718,19.1992343076
201,-155.89828_19.20415,flk_263_BI,-155.903033718,19.1992343076
202,-155.76227_19.10261,flk_78_BI,-155.774089898,18.9894051716
203,-155.74712_19.09924,flk_67_BI,-155.745897089,18.9753719454
204,-155.89818_19.20696,flk_271_BI,-155.898115112,19.2081781377
205,-155.76630_19.09527,flk_86_BI,-155.783401903,18.9985937959
206,-155.76159_19.08324,flk_86_BI,-155.783401903,18.9985937959
207,-155.88155_19.21130,flk_271_BI,-155.898115112,19.2081781377
208,-155.89723_19.20359,flk_263_BI,-155.903033718,19.1992343076
209,-155.89760_19.20533,flk_263_BI,-155.903033718,19.1992343076
210,-155.90133_19.20382,flk_267_BI,0.0,0.0
211,-155.74495_19.11278,flk_67_BI,-155.745897089,18.9753719454
212,-155.75238_19.10809,flk_67_BI,-155.745897089,18.9753719454
213,-155.75737_19.08904,flk_75_BI,-155.764691712,18.9847278318
214,-155.78672_19.11183,flk_110_BI,-155.825747485,19.0173792623
215,-155.73533_19.12075,flk_57_BI,-155.727016655,18.9705259003
216,-155.53282_19.10450,flk_185_BI,0.0,0.0
217,-155.75170_19.11706,flk_66_BI,-155.750639302,18.9754552927
218,-155.75810_19.13075,flk_75_BI,-155.764691712,18.9847278318
219,-155.58672_19.06111,flk_138_BI,-155.559578069,19.0396868255
220,-155.58690_19.06177,flk_138_BI,-155.559578069,19.0396868255
221,-155.77278_19.09712,flk_95_BI,-155.792714927,19.0077820935
222,-155.86711_19.29584,flk_388_BI,-155.886912534,19.2982573656
223,-155.77237_19.10121,flk_95_BI,-155.792714927,19.0077820935
224,-155.77618_19.10581,flk_103_BI,-155.797371821,19.0123761195
225,-155.76393_19.12652,flk_86_BI,-155.783401903,18.9985937959
226,-155.77254_19.09565,flk_103_BI,-155.797371821,19.0123761195
227,-155.89696_19.20889,flk_271_BI,-155.898115112,19.2081781377
228,-155.77752_19.12814,flk_100_BI,-155.811602401,19.0126223043
229,-155.56573_19.06895,flk_162_BI,-155.554088906,19.0756831196
230,-155.47578_19.20339,flk_214_BI,-155.495830277,19.1377533592
231,-155.47651_19.20358,flk_213_BI,-155.500575878,19.1378438463
232,-155.90202_19.20329,flk_267_BI,0.0,0.0
233,-155.90290_19.20333,flk_267_BI,0.0,0.0
234,-155.90304_19.20353,flk_267_BI,0.0,0.0
235,-155.75724_19.11577,flk_71_BI,-155.760036499,18.980133216
