,Uid,Elevation_m
220,-155.58690_19.06177,209.60244751
221,-155.77278_19.09712,726.6778564449999
222,-155.86711_19.29584,498.593414307
223,-155.77237_19.10121,764.9019165039999
224,-155.77618_19.10581,794.7250976560001
225,-155.76393_19.12652,1063.55395508
226,-155.77254_19.09565,706.09564209
227,-155.89696_19.20889,23.9368553162
228,-155.77752_19.12814,1023.6496582
229,-155.56573_19.06895,141.555160522
230,-155.47578_19.20339,280.590057373
231,-155.47651_19.20358,282.6902771
232,-155.90202_19.20329,22.5541286469
233,-155.90290_19.20333,17.8571186066
234,-155.90304_19.20353,17.1407470703
235,-155.75724_19.11577,997.186828613
236,-155.75330_19.13589,1242.91308594
237,-155.75375_19.08469,657.7904663089998
238,-155.63056_19.04418,354.517974854
239,-155.76806_19.08589,628.8073730470002
240,-155.90750_19.18222,1.8037239313100002
241,-155.75575_19.10268,861.512268066
242,-155.77107_19.10850,844.290405273
243,-155.77191_19.11083,861.512268066
244,-155.74539_19.12482,1158.9041748
245,-155.75949_19.14969,1364.30615234
246,-155.74177_19.12988,1226.5313720700003
247,-155.75180_19.08121,633.4278564449999
248,-155.78449_19.12032,905.1969604489999
249,-155.74764_19.08777,719.9570922849998
250,-155.74847_19.08626,696.0145263670001
251,-155.89906_19.20742,13.70353508
252,-155.77517_19.09489,693.07421875
253,-155.90465_19.20373,10.481562614400001
254,-155.90480_19.20364,9.955605506900001
255,-155.90503_19.20339,9.68081665039
256,-155.73188_19.13113,1241.6529541
257,-155.73199_19.13145,1245.01330566
258,-155.88113_19.20737,359.13845825199996
259,-155.75910_19.08624,678.372680664
260,-155.75226_19.10615,918.2183227539999
261,-155.75168_19.10634,923.6789550780001
262,-155.75156_19.10597,924.098999023
263,-155.73831_19.12813,1214.7701416
264,-155.77563_19.06201,405.343414307
265,-155.74349_19.10436,935.020141602
266,-155.74342_19.10418,932.079833984
267,-155.89931_19.20604,18.2306175232
268,-155.78280_19.12661,988.7858886719999
269,-155.62678_19.05496,404.92337036099997
270,-155.74092_19.10926,1001.80731201
271,-155.76515_19.08167,601.5043945310001
272,-155.78403_19.10485,742.6395263669999
273,-155.78440_19.10474,737.1789550779998
274,-155.78477_19.10462,731.718383789
275,-155.75421_19.11317,979.96496582
276,-155.74546_19.12172,1121.5201416
277,-155.74485_19.09482,808.166564941
278,-155.86127_19.19667,571.681213379
279,-155.74610_19.09318,782.1237792969999
280,-155.76994_19.10542,810.266784668
281,-155.76890_19.09458,706.93572998
282,-155.75639_19.08628,682.5731201169999
283,-155.903_19.20544,10.7421159744
284,-155.90313_19.20533,11.591331481900001
285,-155.90350_19.20498,12.6738481522
286,-155.90363_19.20487,12.545102119400001
287,-155.90381_19.20457,13.4029455185
288,-155.76226_19.08907,680.0528564449999
289,-155.79800_19.10028,643.088867188
290,-155.79954_19.09961,629.647460938
291,-155.75819_19.11781,1005.58770752
292,-155.89829_19.20432,31.246297836300002
293,-155.89783_19.20851,18.275243759200002
294,-155.89389_19.20453,107.11147308299999
295,-155.90310_19.20290,16.11652565
296,-155.58881_19.06075,217.583297729
297,-155.78010_19.13318,1066.91430664
298,-155.79775_19.10036,645.189086914
299,-155.79922_19.09875,621.246520996
300,-155.76820_19.09604,724.157531738
301,-155.76814_19.09586,722.477355957
302,-155.75854_19.14704,1333.22277832
303,-155.78719_19.11684,846.390625
304,-155.78731_19.11717,850.591125488
305,-155.78134_19.10089,712.8163452150002
306,-155.88636_19.20217,286.050628662
307,-155.76778_19.08399,619.14630127
308,-155.78223_19.11743,878.314086914
309,-155.76343_19.10017,790.944702148
310,-155.74920_19.08827,713.6564331049998
311,-155.75471_19.11795,1033.31066895
312,-155.90254_19.20601,11.171232223499999
313,-155.90225_19.20660,8.462018966670001
314,-155.76870_19.10107,771.6226196289999
315,-155.76661_19.11478,930.819702148
316,-155.74372_19.09773,846.8106689449999
317,-155.90204_19.20723,10.319985389700001
318,-155.90167_19.20759,7.20443916321
319,-155.90116_19.20804,8.59774971008
320,-155.90064_19.20845,5.84649848938
321,-155.90034_19.20862,6.63326406479
322,-155.74852_19.09363,790.944702148
323,-155.77078_19.11413,901.416564941
324,-155.78781_19.11852,864.032531738
325,-155.58466_19.06016,202.46168518099998
326,-155.63352_19.03164,317.133972168
327,-155.63436_19.03086,319.234191895
328,-155.76651_19.12318,1019.44915771
329,-155.73640_19.11284,1050.5324707
330,-155.60722_19.06551,308.733062744
331,-155.76422_19.10046,785.064086914
332,-155.76353_19.10493,830.848999023
333,-155.79527_19.10630,707.3557739260001
334,-155.79295_19.11077,756.921081543
335,-155.79325_19.11039,751.040466309
336,-155.78379_19.10008,697.694702148
337,-155.77351_19.09689,722.477355957
338,-155.66096_19.01338,338.136230469
339,-155.78296_19.04337,235.645233154
340,-155.78288_19.12760,993.826416016
341,-155.76958_19.10096,769.5223999019998
342,-155.75452_19.13926,1265.1755371100003
343,-155.77759_19.09370,670.8118286129999
344,-155.77687_19.09434,681.3129882809999
345,-155.89984_19.20761,12.6634626389
346,-155.90035_19.20697,13.008531570399999
347,-155.74769_19.11133,991.3061523440001
348,-155.89977_19.20575,20.2359542847
349,-155.75648_19.09488,770.782531738
350,-155.77800_19.07773,549.4188232419999
351,-155.74700_19.09654,825.80847168
352,-155.75835_19.11712,998.0269165039999
353,-155.87326_19.21588,490.61254882800006
354,-155.76568_19.13724,1190.8275146499998
355,-155.74990_19.11560,1027.43005371
356,-155.78516_19.11804,870.753234863
357,-155.75203_19.07733,596.0438232419999
358,-155.77346_19.09328,686.3535156249999
359,-155.78917_19.11124,772.46270752
360,-155.74652_19.10625,942.5809326169999
361,-155.76817_19.10035,768.262268066
362,-155.90089_19.20635,17.698085784900005
363,-155.78056_19.09109,638.048339844
364,-155.76444_19.09000,675.0122680659999
365,-155.76474_19.09071,678.7927246089998
366,-155.75352_19.08174,636.3681640630001
367,-155.75278_19.08203,641.408691406
368,-155.76655_19.09012,675.0122680659999
369,-155.76584_19.09076,683.4132080080001
370,-155.78454_19.09696,659.0505981449999
371,-155.88934_19.20804,207.92227172900002
372,-155.74253_19.11358,1047.17211914
373,-155.73794_19.13113,1254.67443848
374,-155.65942_19.04497,509.094512939
375,-155.78007_19.10819,802.7059936519998
376,-155.78043_19.10645,789.684570313
377,-155.77504_19.09453,690.9739990230001
378,-155.78843_19.10926,750.620422363
379,-155.81266_19.05637,263.788238525
380,-155.74289_19.12050,1120.26000977
381,-155.76773_19.10686,841.3500976560001
382,-155.74154_19.10460,947.2014770510001
383,-155.74167_19.10496,951.4019165039999
384,-155.74169_19.10578,962.743103027
385,-155.78444_19.11603,848.490905762
386,-155.76064_19.10710,881.2543945310001
387,-155.75125_19.13011,1185.7869873
388,-155.77648_19.11851,916.958190918
389,-155.77346_19.09443,692.6541748049998
390,-155.77163_19.09576,712.8163452150002
391,-155.76301_19.12024,1009.78814697
392,-155.76314_19.12060,1013.56854248
393,-155.74524_19.10614,944.6811523440001
394,-155.74549_19.10605,942.5809326169999
395,-155.88455_19.21401,313.773620605
396,-155.89999_19.20315,33.0222091675
397,-155.89990_19.20339,31.7704734802
398,-155.76646_19.12035,986.265625
399,-155.79059_19.11249,775.8231201169999
400,-155.73711_19.10725,980.805053711
401,-155.73689_19.10747,985.005493164
402,-155.75030_19.09477,804.386169434
