,Uid,In_WellCZ_C
294,-155.04950_19.60555,True
295,-155.94049_19.61655,True
296,-155.94888_19.61523,True
297,-155.94683_19.61482,True
298,-155.94779_19.61565,True
299,-155.94772_19.61456,True
300,-155.94605_19.61622,True
301,-155.94192_19.61645,True
302,-155.94447_19.61482,True
303,-155.94334_19.61678,True
304,-155.94045_19.64554,True
305,-155.94994_19.64774,True
306,-155.95161_19.64817,True
307,-155.94409_19.64728,True
308,-155.93847_19.64876,True
309,-155.94738_19.64844,True
310,-155.94702_19.64938,True
311,-155.94495_19.64829,True
312,-155.94168_19.64995,True
313,-155.05638_19.63213,True
314,-155.05241_19.63363,True
315,-155.12361_19.66042,True
316,-155.96685_19.67639,True
317,-155.96496_19.68023,True
318,-155.96795_19.67996,True
319,-155.96632_19.68007,True
320,-155.96706_19.67834,True
321,-155.96762_19.67775,True
322,-155.96736_19.67878,True
323,-155.96804_19.67855,True
324,-155.96719_19.68084,True
325,-155.96712_19.67537,True
326,-155.96529_19.67812,True
327,-155.12447_19.62709,True
328,-155.12146_19.62984,True
329,-155.05367_19.63293,True
330,-155.05185_19.63300,True
331,-155.05140_19.63361,True
332,-155.05502_19.63215,True
333,-155.05300_19.63224,True
334,-155.03916_19.63087,True
335,-155.03644_19.62947,True
336,-155.05499_19.60921,True
337,-155.05249_19.63254,True
338,-155.13598_19.65982,True
339,-155.12397_19.66080,True
340,-155.12099_19.65057,True
341,-155.12521_19.65144,True
342,-155.13167_19.66019,True
343,-155.11953_19.64770,True
344,-155.12821_19.65673,True
345,-155.12729_19.66114,True
346,-155.11323_19.65525,True
347,-155.11830_19.65485,True
348,-155.13321_19.66056,True
349,-155.08360_19.66962,True
350,-155.08355_19.66904,True
351,-155.08651_19.66972,True
352,-155.08591_19.67071,True
353,-155.08333_19.66861,True
354,-155.08298_19.66863,True
355,-155.08307_19.66956,True
356,-155.08217_19.67002,True
357,-155.09437_19.67285,True
358,-155.09439_19.67312,True
359,-155.08658_19.67061,True
360,-155.08841_19.67046,True
361,-155.08802_19.67061,True
362,-155.08115_19.66877,True
363,-155.07514_19.66915,True
364,-155.07176_19.67095,True
365,-155.07558_19.64887,True
366,-155.07260_19.66965,True
367,-155.07314_19.66961,True
368,-155.07316_19.66991,True
369,-155.07319_19.67022,True
370,-155.07321_19.67052,True
371,-155.07361_19.67050,True
372,-155.07356_19.66988,True
373,-155.07354_19.66958,True
374,-155.07410_19.66985,True
375,-155.08080_19.66981,True
376,-155.07459_19.65123,True
377,-155.07423_19.65092,True
378,-155.07665_19.64980,True
379,-155.07413_19.67015,True
380,-155.07415_19.67046,True
381,-155.07386_19.65061,True
382,-155.98025_19.71642,True
383,-155.97006_19.70183,True
