,Uid,Track_ID
0,-155.89725_19.20586,117
1,-155.89724_19.20570,117
2,-155.90023_19.20875,117
3,-155.89958_19.20908,117
4,-155.79086_19.10506,112
5,-155.79047_19.10405,112
6,-155.75784_19.12333,112
7,-155.74633_19.11318,112
8,-155.74723_19.11305,112
9,-155.75078_19.09273,112
10,-155.89549_19.20763,117
11,-155.89548_19.20741,117
12,-155.86389_19.19778,117
13,-155.86487_19.19792,117
14,-155.47667_19.20571,112
15,-155.89268_19.20675,117
16,-155.89560_19.20302,117
17,-155.77293_19.10842,112
18,-155.72036_19.13963,112
19,-155.89778_19.20785,117
20,-155.89620_19.20419,117
21,-155.89985_19.20658,117
22,-155.90019_19.20271,117
23,-155.90074_19.20338,117
24,-155.90077_19.20371,117
25,-155.90080_19.20388,117
26,-155.90090_19.20402,117
27,-155.89469_19.20448,117
28,-155.73909_19.13076,112
29,-155.76511_19.13142,112
30,-155.86346_19.19491,117
31,-155.47504_19.19330,112
32,-155.89932_19.20265,117
33,-155.87037_19.21610,117
34,-155.74451_19.10638,112
35,-155.74475_19.10630,112
36,-155.88396_19.20759,117
37,-155.89970_19.20556,117
38,-155.76402_19.11357,112
39,-155.73858_19.10653,112
40,-155.78360_19.09204,112
41,-155.75519_19.08632,112
42,-155.88237_19.19348,117
43,-155.75677_19.09078,112
44,-155.78319_19.11489,112
45,-155.89999_19.20441,117
46,-155.89987_19.20515,117
47,-155.73774_19.10733,112
48,-155.78712_19.10078,112
49,-155.79418_19.09762,112
50,-155.79560_19.09958,112
51,-155.75358_19.08409,112
52,-155.79207_19.11453,112
53,-155.77730_19.12679,112
54,-155.86303_19.19663,117
55,-155.86215_19.19665,117
56,-155.74747_19.10313,112
57,-155.75324_19.12140,112
58,-155.78636_19.09109,112
59,-155.63670_19.04375,112
60,-155.74521_19.10380,112
61,-155.78990_19.09984,112
62,-155.79240_19.09840,112
63,-155.90180_19.20631,117
64,-155.86984_19.20140,117
65,-155.87002_19.20071,117
66,-155.77006_19.11674,112
67,-155.78675_19.09963,112
68,-155.80007_19.09774,112
69,-155.74286_19.13197,112
70,-155.77196_19.10771,112
71,-155.76042_19.08995,112
72,-155.76408_19.08738,112
73,-155.79972_19.09634,112
74,-155.89586_19.20974,117
75,-155.77931_19.13516,112
76,-155.75716_19.07743,112
77,-155.89944_19.20756,117
78,-155.74814_19.11824,112
79,-155.89848_19.20920,117
80,-155.62261_19.04501,112
81,-155.73720_19.11311,112
82,-155.77665_19.14746,112
83,-155.80010_19.09669,112
84,-155.88300_19.21130,117
85,-155.63086_19.03071,112
86,-155.89486_19.20283,117
87,-155.89500_19.20321,117
88,-155.76610_19.08870,112
89,-155.76212_19.08778,112
90,-155.77469_19.11530,112
91,-155.89955_19.20359,117
92,-155.85655_19.19473,117
93,-155.85698_19.19467,117
94,-155.85831_19.19462,117
95,-155.89822_19.20748,117
96,-155.76281_19.12923,112
97,-155.89521_19.20437,117
98,-155.89796_19.20290,117
99,-155.59500_19.05975,112
100,-155.58974_19.05960,112
101,-155.77928_19.08883,112
102,-155.77935_19.08901,112
103,-155.58281_19.05955,112
104,-155.75765_19.11064,112
105,-155.76574_19.09562,112
106,-155.74656_19.11723,112
107,-155.74668_19.11755,112
108,-155.76222_19.09904,112
109,-155.90417_19.20309,117
110,-155.90401_19.20303,117
