,Uid,nrcs_DtoBrock,nrcs_FloodFreq,nrcs_septic_dominant,nrcs_septic_least,nrcs_septic_most,nrcs_ksat_hi,nrcs_ksat_lo,nrcs_ksat_rep,nrcs_rockFrag3in
55,-155.86215_19.19665,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
56,-155.74747_19.10313,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
57,-155.75324_19.12140,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
58,-155.78636_19.09109,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
59,-155.63670_19.04375,66.0,None,Very limited,Very limited,Very limited,317.4249999999999,66.00833333333334,191.67333333333332,38.75
60,-155.74521_19.10380,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
61,-155.78990_19.09984,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
62,-155.79240_19.09840,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
63,-155.90180_19.20631,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
64,-155.86984_19.20140,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
65,-155.87002_19.20071,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
66,-155.77006_19.11674,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
67,-155.78675_19.09963,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
68,-155.80007_19.09774,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
69,-155.74286_19.13197,0.0,None,Not rated,Not rated,Very limited,17.052,5.612,11.331,91.0
70,-155.77196_19.10771,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
71,-155.76042_19.08995,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
72,-155.76408_19.08738,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
73,-155.79972_19.09634,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
74,-155.89586_19.20974,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
75,-155.77931_19.13516,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
76,-155.75716_19.07743,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
77,-155.89944_19.20756,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
78,-155.74814_19.11824,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
79,-155.89848_19.20920,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
80,-155.62261_19.04501,0.0,None,Not rated,Not rated,Very limited,53.1375,15.7625,34.32375,83.33333333333333
81,-155.73720_19.11311,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
82,-155.77665_19.14746,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
83,-155.80010_19.09669,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
84,-155.88300_19.21130,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
85,-155.63086_19.03071,46.0,None,Very limited,Not rated,Very limited,36.555,11.288333333333336,23.919722222222227,76.25
86,-155.89486_19.20283,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,20.0
87,-155.89500_19.20321,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,20.0
88,-155.76610_19.08870,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
89,-155.76212_19.08778,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
90,-155.77469_19.11530,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
91,-155.89955_19.20359,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
92,-155.85655_19.19473,76.0,None,Very limited,Very limited,Very limited,342.6866,70.52459999999998,206.5543,36.48333333333333
93,-155.85698_19.19467,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
94,-155.85831_19.19462,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
95,-155.89822_19.20748,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
96,-155.76281_19.12923,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
97,-155.89521_19.20437,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,20.0
98,-155.89796_19.20290,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
99,-155.59500_19.05975,,None,Somewhat limited,Somewhat limited,Somewhat limited,14.0,4.0,10.0,100.0
100,-155.58974_19.05960,,None,Somewhat limited,Somewhat limited,Somewhat limited,14.0,4.0,10.0,100.0
101,-155.77928_19.08883,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
