,Uid,Wave_pwr
0,-155.89725_19.20586,5.94161891937
1,-155.89724_19.20570,5.94161891937
2,-155.90023_19.20875,5.83090877533
3,-155.89958_19.20908,5.83090877533
4,-155.79086_19.10506,6.43249893188
5,-155.79047_19.10405,6.43249893188
6,-155.75784_19.12333,5.72789001465
7,-155.74633_19.11318,6.01220321655
8,-155.74723_19.11305,6.01220321655
9,-155.75078_19.09273,6.01220321655
10,-155.89549_19.20763,5.74600982666
11,-155.89548_19.20741,5.74600982666
12,-155.86389_19.19778,5.94161891937
13,-155.86487_19.19792,5.94161891937
14,-155.47667_19.20571,12.5640964508
15,-155.89268_19.20675,5.74600982666
16,-155.89560_19.20302,5.94161891937
17,-155.77293_19.10842,5.27352619171
18,-155.72036_19.13963,4.79416894913
19,-155.89778_19.20785,5.74600982666
20,-155.89620_19.20419,5.94161891937
21,-155.89985_19.20658,5.83090877533
22,-155.90019_19.20271,5.64181280136
23,-155.90074_19.20338,5.64181280136
24,-155.90077_19.20371,5.64181280136
25,-155.90080_19.20388,5.64181280136
26,-155.90090_19.20402,5.64181280136
27,-155.89469_19.20448,5.94161891937
28,-155.73909_19.13076,5.65067005157
29,-155.76511_19.13142,5.63031721115
30,-155.86346_19.19491,5.81924915314
31,-155.47504_19.19330,13.5408239365
32,-155.89932_19.20265,5.64181280136
33,-155.87037_19.21610,5.83090877533
34,-155.74451_19.10638,6.01220321655
35,-155.74475_19.10630,6.01220321655
36,-155.88396_19.20759,5.74600982666
37,-155.89970_19.20556,5.64181280136
38,-155.76402_19.11357,5.72789001465
39,-155.73858_19.10653,5.65067005157
40,-155.78360_19.09204,6.02410984039
41,-155.75519_19.08632,5.63031721115
42,-155.88237_19.19348,5.81924915314
43,-155.75677_19.09078,5.72789001465
44,-155.78319_19.11489,6.43249893188
45,-155.89999_19.20441,5.64181280136
46,-155.89987_19.20515,5.64181280136
47,-155.73774_19.10733,5.65067005157
48,-155.78712_19.10078,6.43249893188
49,-155.79418_19.09762,7.62799978256
50,-155.79560_19.09958,7.62799978256
51,-155.75358_19.08409,5.72789001465
52,-155.79207_19.11453,7.62799978256
53,-155.77730_19.12679,5.49637889862
54,-155.86303_19.19663,5.94161891937
55,-155.86215_19.19665,5.94161891937
56,-155.74747_19.10313,6.01220321655
57,-155.75324_19.12140,6.01220321655
58,-155.78636_19.09109,6.43249893188
59,-155.63670_19.04375,15.3341598511
60,-155.74521_19.10380,6.01220321655
61,-155.78990_19.09984,6.43249893188
62,-155.79240_19.09840,6.43249893188
63,-155.90180_19.20631,5.83090877533
64,-155.86984_19.20140,5.94161891937
65,-155.87002_19.20071,5.94161891937
66,-155.77006_19.11674,5.63031721115
67,-155.78675_19.09963,6.43249893188
68,-155.80007_19.09774,7.38594484329
69,-155.74286_19.13197,6.01220321655
70,-155.77196_19.10771,5.63031721115
71,-155.76042_19.08995,5.63031721115
72,-155.76408_19.08738,5.63031721115
73,-155.79972_19.09634,7.62799978256
74,-155.89586_19.20974,5.74600982666
75,-155.77931_19.13516,7.62799978256
76,-155.75716_19.07743,5.63031721115
77,-155.89944_19.20756,5.83090877533
78,-155.74814_19.11824,6.01220321655
79,-155.89848_19.20920,5.74600982666
80,-155.62261_19.04501,15.711022377
81,-155.73720_19.11311,5.65067005157
82,-155.77665_19.14746,8.4823923111
83,-155.80010_19.09669,7.62799978256
84,-155.88300_19.21130,5.74600982666
85,-155.63086_19.03071,15.3341598511
86,-155.89486_19.20283,5.94161891937
87,-155.89500_19.20321,5.94161891937
88,-155.76610_19.08870,5.63031721115
89,-155.76212_19.08778,5.63031721115
90,-155.77469_19.11530,4.90250587463
91,-155.89955_19.20359,5.64181280136
92,-155.85655_19.19473,5.68671178818
93,-155.85698_19.19467,5.68671178818
94,-155.85831_19.19462,5.68671178818
95,-155.89822_19.20748,5.74600982666
96,-155.76281_19.12923,5.72789001465
97,-155.89521_19.20437,5.94161891937
98,-155.89796_19.20290,5.94161891937
99,-155.59500_19.05975,14.474395752
100,-155.58974_19.05960,15.5848846436
101,-155.77928_19.08883,4.90250587463
102,-155.77935_19.08901,4.90250587463
103,-155.58281_19.05955,14.3849964142
104,-155.75765_19.11064,5.72789001465
105,-155.76574_19.09562,5.63031721115
106,-155.74656_19.11723,6.01220321655
107,-155.74668_19.11755,6.01220321655
108,-155.76222_19.09904,5.72789001465
109,-155.90417_19.20309,5.64181280136
110,-155.90401_19.20303,5.64181280136
111,-155.89689_19.20278,5.94161891937
112,-155.89728_19.20273,5.94161891937
113,-155.89747_19.20854,5.74600982666
114,-155.89868_19.20337,5.94161891937
115,-155.86761_19.20027,5.94161891937
116,-155.86572_19.19937,5.94161891937
117,-155.47465_19.27137,12.5640964508
118,-155.73765_19.11622,4.79416894913
119,-155.86951_19.29686,5.38683795929
120,-155.77780_19.13186,5.49637889862
121,-155.62615_19.04545,15.711022377
122,-155.75858_19.09129,5.72789001465
123,-155.89576_19.20583,5.94161891937
124,-155.77975_19.05684,4.90250587463
125,-155.87163_19.19592,5.81924915314
126,-155.63820_19.03628,15.7913255692
127,-155.85572_19.14104,6.32192516327
128,-155.89680_19.20692,5.74600982666
129,-155.75997_19.10714,5.72789001465
130,-155.89893_19.20573,5.64181280136
131,-155.89859_19.20746,5.74600982666
132,-155.58274_19.05937,14.3849964142
133,-155.58268_19.05919,14.3849964142
134,-155.87097_19.27128,5.49971008301
135,-155.87140_19.27209,5.49971008301
136,-155.85996_19.19475,5.68671178818
137,-155.76557_19.09003,5.63031721115
138,-155.85956_19.19483,5.68671178818
139,-155.78344_19.11482,6.43249893188
140,-155.89913_19.20825,5.83090877533
141,-155.90058_19.20636,5.83090877533
142,-155.77633_19.14128,9.31167697906
143,-155.80303_19.09945,7.38594484329
144,-155.80316_19.09982,7.38594484329
145,-155.77546_19.13130,4.90250587463
146,-155.75580_19.09564,5.72789001465
147,-155.75623_19.09495,5.72789001465
148,-155.75565_19.08876,5.72789001465
149,-155.86922_19.27496,5.49971008301
150,-155.86512_19.20084,5.94161891937
151,-155.86468_19.20078,5.94161891937
