,Uid,BlockBk_ID
200,-155.89826_19.20399,1242
201,-155.89828_19.20415,1242
202,-155.76227_19.10261,3867
203,-155.74712_19.09924,1832
204,-155.89818_19.20696,1241
205,-155.76630_19.09527,3865
206,-155.76159_19.08324,3814
207,-155.88155_19.21130,8599
208,-155.89723_19.20359,7548
209,-155.89760_19.20533,7548
210,-155.90133_19.20382,7549
211,-155.74495_19.11278,4826
212,-155.75238_19.10809,1831
213,-155.75737_19.08904,3872
214,-155.78672_19.11183,3806
215,-155.73533_19.12075,2923
216,-155.53282_19.10450,3174
217,-155.75170_19.11706,2847
218,-155.75810_19.13075,689
219,-155.58672_19.06111,6887
220,-155.58690_19.06177,6887
221,-155.77278_19.09712,1162
222,-155.86711_19.29584,8537
223,-155.77237_19.10121,3002
224,-155.77618_19.10581,4576
225,-155.76393_19.12652,317
226,-155.77254_19.09565,3304
227,-155.89696_19.20889,6012
228,-155.77752_19.12814,780
229,-155.56573_19.06895,7819
230,-155.47578_19.20339,3300
231,-155.47651_19.20358,3300
232,-155.90202_19.20329,7549
233,-155.90290_19.20333,7549
234,-155.90304_19.20353,7549
235,-155.75724_19.11577,3416
236,-155.75330_19.13589,2317
237,-155.75375_19.08469,3006
238,-155.63056_19.04418,85
239,-155.76806_19.08589,3305
240,-155.90750_19.18222,1243
241,-155.75575_19.10268,3565
242,-155.77107_19.10850,3308
243,-155.77191_19.11083,3308
244,-155.74539_19.12482,2574
245,-155.75949_19.14969,787
246,-155.74177_19.12988,1032
247,-155.75180_19.08121,3000
248,-155.78449_19.12032,1048
249,-155.74764_19.08777,5334
250,-155.74847_19.08626,2846
251,-155.89906_19.20742,7345
252,-155.77517_19.09489,4769
253,-155.90465_19.20373,3649
254,-155.90480_19.20364,3649
255,-155.90503_19.20339,3649
256,-155.73188_19.13113,7109
257,-155.73199_19.13145,7109
258,-155.88113_19.20737,7791
259,-155.75910_19.08624,3872
260,-155.75226_19.10615,3421
261,-155.75168_19.10634,3421
262,-155.75156_19.10597,3421
263,-155.73831_19.12813,2572
264,-155.77563_19.06201,1838
265,-155.74349_19.10436,3429
266,-155.74342_19.10418,3429
267,-155.89931_19.20604,7345
268,-155.78280_19.12661,692
269,-155.62678_19.05496,6563
270,-155.74092_19.10926,2493
271,-155.76515_19.08167,3360
272,-155.78403_19.10485,4575
273,-155.78440_19.10474,4575
274,-155.78477_19.10462,4575
275,-155.75421_19.11317,5086
276,-155.74546_19.12172,848
277,-155.74485_19.09482,3874
278,-155.86127_19.19667,901
279,-155.74610_19.09318,5334
280,-155.76994_19.10542,3813
281,-155.76890_19.09458,3359
282,-155.75639_19.08628,4312
283,-155.903_19.20544,3649
284,-155.90313_19.20533,3649
285,-155.90350_19.20498,3649
286,-155.90363_19.20487,3649
287,-155.90381_19.20457,3649
288,-155.76226_19.08907,3875
289,-155.79800_19.10028,2993
290,-155.79954_19.09961,2993
291,-155.75819_19.11781,3415
292,-155.89829_19.20432,1242
293,-155.89783_19.20851,7276
294,-155.89389_19.20453,7727
295,-155.90310_19.20290,1912
296,-155.58881_19.06075,6887
297,-155.78010_19.13318,311
298,-155.79775_19.10036,2993
299,-155.79922_19.09875,3248
300,-155.76820_19.09604,3359
301,-155.76814_19.09586,3359
302,-155.75854_19.14704,787
303,-155.78719_19.11684,3945
304,-155.78731_19.11717,3945
305,-155.78134_19.10089,3356
306,-155.88636_19.20217,6477
307,-155.76778_19.08399,3305
308,-155.78223_19.11743,4768
309,-155.76343_19.10017,3867
310,-155.74920_19.08827,2846
311,-155.75471_19.11795,2848
312,-155.90254_19.20601,3649
313,-155.90225_19.20660,3649
314,-155.76870_19.10107,2843
315,-155.76661_19.11478,3003
316,-155.74372_19.09773,5334
317,-155.90204_19.20723,3649
318,-155.90167_19.20759,3649
319,-155.90116_19.20804,3649
320,-155.90064_19.20845,3649
321,-155.90034_19.20862,3649
322,-155.74852_19.09363,5608
323,-155.77078_19.11413,3361
324,-155.78781_19.11852,1048
325,-155.58466_19.06016,176
326,-155.63352_19.03164,4000
327,-155.63436_19.03086,4519
328,-155.76651_19.12318,5264
329,-155.73640_19.11284,5269
330,-155.60722_19.06551,3298
331,-155.76422_19.10046,3867
332,-155.76353_19.10493,3363
333,-155.79527_19.10630,3802
334,-155.79295_19.11077,5398
335,-155.79325_19.11039,5398
336,-155.78379_19.10008,3356
337,-155.77351_19.09689,1162
338,-155.66096_19.01338,2569
339,-155.78296_19.04337,3582
340,-155.78288_19.12760,692
341,-155.76958_19.10096,2842
342,-155.75452_19.13926,2314
343,-155.77759_19.09370,4769
344,-155.77687_19.09434,4769
345,-155.89984_19.20761,8475
346,-155.90035_19.20697,607
347,-155.74769_19.11133,3418
348,-155.89977_19.20575,607
349,-155.75648_19.09488,3804
350,-155.77800_19.07773,5088
351,-155.74700_19.09654,3874
352,-155.75835_19.11712,3415
353,-155.87326_19.21588,7727
354,-155.76568_19.13724,2313
355,-155.74990_19.11560,3419
356,-155.78516_19.11804,2997
357,-155.75203_19.07733,5334
358,-155.77346_19.09328,3304
359,-155.78917_19.11124,3303
360,-155.74652_19.10625,3417
361,-155.76817_19.10035,2843
362,-155.90089_19.20635,7789
363,-155.78056_19.09109,4317
364,-155.76444_19.09000,3875
365,-155.76474_19.09071,3875
366,-155.75352_19.08174,3000
367,-155.75278_19.08203,3000
368,-155.76655_19.09012,3306
369,-155.76584_19.09076,3306
370,-155.78454_19.09696,1834
371,-155.88934_19.20804,7791
372,-155.74253_19.11358,4826
373,-155.73794_19.13113,1029
374,-155.65942_19.04497,6248
375,-155.78007_19.10819,4573
376,-155.78043_19.10645,4573
377,-155.77504_19.09453,4769
378,-155.78843_19.10926,2994
379,-155.81266_19.05637,6555
380,-155.74289_19.12050,5598
381,-155.76773_19.10686,3813
382,-155.74154_19.10460,2494
383,-155.74167_19.10496,2494
384,-155.74169_19.10578,2494
385,-155.78444_19.11603,2997
386,-155.76064_19.10710,2786
387,-155.75125_19.13011,316
388,-155.77648_19.11851,4316
389,-155.77346_19.09443,3304
390,-155.77163_19.09576,3304
391,-155.76301_19.12024,849
392,-155.76314_19.12060,849
393,-155.74524_19.10614,3417
394,-155.74549_19.10605,3417
395,-155.88455_19.21401,8599
396,-155.89999_19.20315,7550
397,-155.89990_19.20339,7550
398,-155.76646_19.12035,5084
399,-155.79059_19.11249,3303
400,-155.73711_19.10725,5334
401,-155.73689_19.10747,5334
402,-155.75030_19.09477,5608
403,-155.48982_19.23782,4064
404,-155.74418_19.09639,3874
405,-155.7751_19.09247,4769
406,-155.62941_19.05141,5032
407,-155.63379_19.04707,5601
408,-155.89569_19.20532,8536
409,-155.77499_19.12691,780
410,-155.77747_19.11778,4316
411,-155.77722_19.12545,780
412,-155.77443_19.10360,4576
413,-155.77393_19.10222,2999
414,-155.86402_19.16675,7721
415,-155.90101_19.20603,7789
416,-155.78689_19.10001,3570
417,-155.73681_19.12780,2572
418,-155.75618_19.09669,3804
419,-155.77641_19.08730,3569
420,-155.89787_19.20352,1242
421,-155.58041_19.05895,4902
422,-155.89524_19.20497,8536
423,-155.90316_19.20446,7344
424,-155.89648_19.20371,8536
425,-155.57969_19.06121,4902
426,-155.75196_19.13211,316
427,-155.75207_19.13242,316
428,-155.75218_19.13274,316
429,-155.76060_19.13422,6643
430,-155.63455_19.03973,4000
431,-155.77858_19.12395,2567
432,-155.77214_19.10057,3002
433,-155.77820_19.11049,2841
434,-155.78311_19.08994,2838
435,-155.78596_19.10139,3570
436,-155.75118_19.10813,5083
437,-155.75147_19.10561,3421
438,-155.63224_19.03268,4000
439,-155.74332_19.11901,5598
440,-155.76704_19.08616,4577
441,-155.79370_19.09450,4570
442,-155.79433_19.09618,4570
443,-155.79445_19.09650,4570
444,-155.77537_19.08512,3569
445,-155.75123_19.11398,4313
446,-155.77079_19.11532,3361
447,-155.58585_19.06000,176
448,-155.77136_19.11272,3361
449,-155.77447_19.11791,3307
450,-155.73804_19.10547,5334
451,-155.75512_19.08996,1160
452,-155.78899_19.11537,3945
453,-155.79030_19.11381,3118
454,-155.75651_19.11961,3415
455,-155.78851_19.09328,2784
456,-155.78944_19.09369,2784
457,-155.78956_19.09401,2784
458,-155.78968_19.09433,2784
459,-155.89497_19.20773,7727
460,-155.89500_19.20812,7727
461,-155.75719_19.11957,3415
462,-155.73691_19.11142,5334
463,-155.73650_19.11155,5334
464,-155.79547_19.11000,5398
465,-155.76182_19.11240,3353
466,-155.76746_19.08870,3306
467,-155.63247_19.04598,5273
468,-155.80017_19.09687,3368
469,-155.62775_19.03179,4519
470,-155.78811_19.10578,2782
471,-155.77314_19.10679,3812
472,-155.78287_19.09002,2838
473,-155.76506_19.12476,3580
474,-155.76261_19.12557,3580
475,-155.73981_19.10622,2494
476,-155.75178_19.07954,5334
477,-155.78076_19.11456,3568
