,Uid,In_2017_CP_zone
168,-155.97037_19.58964,True
169,-155.97089_19.59001,True
170,-155.97066_19.59051,True
171,-155.95571_19.59247,True
172,-155.95309_19.58945,True
173,-155.95657_19.59247,True
174,-155.97031_19.58926,True
175,-155.96956_19.59009,True
176,-155.96966_19.59065,True
177,-155.94705_19.58698,True
178,-155.95256_19.58435,True
179,-155.97027_19.58818,True
180,-155.97041_19.58858,True
181,-155.97066_19.58850,True
182,-155.94624_19.59279,True
183,-155.96747_19.58197,True
184,-155.94995_19.59637,True
185,-155.94845_19.59209,True
186,-155.95066_19.58924,True
187,-155.95703_19.59221,True
188,-155.97222_19.59553,True
189,-155.95508_19.59231,True
190,-155.95706_19.59279,True
191,-155.96613_19.58000,True
192,-155.96578_19.58008,True
193,-155.96546_19.58008,True
194,-155.96551_19.58103,True
195,-155.96498_19.58095,True
196,-155.94800_19.59785,True
197,-155.97017_19.58559,True
198,-155.97041_19.58578,True
199,-155.95317_19.59340,True
200,-155.94439_19.58201,True
201,-155.95998_19.60356,True
202,-155.95964_19.60267,True
203,-155.95869_19.60333,True
204,-155.97784_19.61033,True
205,-155.95870_19.60494,True
206,-155.97449_19.61216,True
207,-155.97273_19.61251,True
208,-155.96783_19.60708,True
209,-155.96583_19.60958,True
210,-155.95688_19.60547,True
211,-155.96983_19.59927,True
212,-155.97399_19.61133,True
213,-155.97788_19.61310,True
214,-155.97738_19.61230,True
215,-155.96710_19.61082,True
216,-155.95776_19.61094,True
217,-155.97545_19.61180,True
218,-155.97362_19.61379,True
219,-155.97329_19.61238,True
220,-155.94859_19.60565,True
221,-155.94743_19.60421,True
222,-155.95423_19.60518,True
223,-155.97147_19.61199,True
224,-155.97123_19.61253,True
225,-155.97098_19.61179,True
226,-155.97108_19.61156,True
227,-155.97106_19.61131,True
228,-155.97099_19.61109,True
229,-155.96003_19.60648,True
230,-155.96749_19.61035,True
231,-155.96735_19.61055,True
232,-155.96747_19.61075,True
233,-155.97730_19.61120,True
234,-155.97121_19.61018,True
235,-155.97008_19.60777,True
236,-155.97034_19.60968,True
237,-155.97871_19.61058,True
238,-155.97621_19.61052,True
239,-155.97486_19.61087,True
240,-155.97190_19.61372,True
241,-155.96301_19.61340,True
242,-155.96870_19.60712,True
243,-155.96897_19.60751,True
244,-155.97041_19.61161,True
245,-155.97034_19.61184,True
246,-155.96281_19.60597,True
247,-155.94945_19.60204,True
248,-155.95805_19.60919,True
249,-155.95831_19.61071,True
250,-155.96420_19.60314,True
251,-155.96898_19.60858,True
252,-155.96934_19.60885,True
253,-155.96354_19.60573,True
254,-155.95832_19.61112,True
255,-155.97521_19.61334,True
256,-155.97498_19.61300,True
257,-155.96054_19.60575,True
258,-155.97203_19.61310,True
259,-155.97169_19.61387,True
260,-155.96974_19.60667,True
261,-155.95970_19.60891,True
262,-155.97207_19.61362,True
263,-155.96056_19.60736,True
264,-155.96273_19.60295,True
265,-155.95824_19.60670,True
266,-155.96262_19.60327,True
267,-155.96287_19.60323,True
268,-155.98200_19.61194,True
269,-155.96981_19.60881,True
270,-155.97868_19.61082,True
271,-155.97548_19.61294,True
272,-155.97576_19.61406,True
273,-155.97594_19.61255,True
274,-155.97673_19.61276,True
275,-155.97668_19.61299,True
276,-155.98134_19.61283,True
277,-155.96298_19.60358,True
278,-155.97878_19.61181,True
279,-155.95633_19.60497,True
280,-155.96186_19.61338,True
281,-155.97710_19.61310,True
282,-155.97036_19.60619,True
283,-155.97870_19.61203,True
284,-155.95810_19.60078,True
285,-155.95767_19.60760,True
286,-155.97495_19.60857,True
287,-155.96998_19.61385,True
288,-155.96799_19.60063,True
289,-155.96373_19.59963,True
290,-155.95034_19.59836,True
291,-155.95875_19.60699,True
292,-155.97107_19.60977,True
293,-155.96570_19.61192,True
294,-155.96442_19.60924,True
295,-155.96539_19.61105,True
296,-155.97426_19.60621,True
297,-155.97228_19.61265,True
298,-155.94740_19.59819,True
299,-155.95349_19.60326,True
300,-155.94777_19.60597,True
301,-155.98218_19.61306,True
302,-155.97022_19.60042,True
303,-155.97076_19.61319,True
304,-155.96137_19.60785,True
305,-155.96740_19.61243,True
306,-155.96675_19.60553,True
307,-155.96851_19.60833,True
308,-155.96972_19.61330,True
309,-155.95316_19.60472,True
310,-155.97329_19.59840,True
311,-155.96571_19.60090,True
312,-155.96523_19.60632,True
313,-155.95885_19.61023,True
314,-155.95882_19.60987,True
315,-155.96903_19.60817,True
316,-155.97237_19.59999,True
317,-155.97109_19.60012,True
318,-155.97141_19.59886,True
319,-155.96328_19.60142,True
320,-155.96305_19.59857,True
321,-155.95419_19.60464,True
322,-155.95387_19.60403,True
323,-155.96964_19.59876,True
324,-155.96179_19.60366,True
325,-155.96189_19.60385,True
326,-155.96207_19.60423,True
327,-155.96231_19.60470,True
328,-155.96272_19.60554,True
329,-155.96172_19.60438,True
330,-155.96217_19.61410,True
331,-155.96156_19.60323,True
332,-155.96170_19.60347,True
333,-155.95887_19.61054,True
334,-155.95540_19.60299,True
335,-155.12217_19.47023,True
336,-155.13526_19.47319,True
337,-155.13408_19.47053,True
338,-155.13958_19.46076,True
339,-155.10177_19.46103,True
340,-155.12314_19.46290,True
341,-155.12692_19.46086,True
342,-155.07828_19.47294,True
343,-155.09236_19.47408,True
344,-155.11786_19.50506,True
345,-155.14057_19.47707,True
346,-155.11689_19.48320,True
347,-155.11382_19.48155,True
348,-155.10847_19.49148,True
349,-155.10870_19.50812,True
350,-155.11534_19.50895,True
351,-155.10217_19.51920,True
352,-155.07010_19.50907,True
353,-155.08085_19.53562,True
354,-154.99884_19.51890,True
355,-154.99908_19.51929,True
356,-154.99982_19.51863,True
357,-155.00204_19.51205,True
358,-155.00201_19.51283,True
359,-155.00178_19.51245,True
360,-155.00166_19.51226,True
361,-155.00131_19.51168,True
362,-154.99679_19.52409,True
363,-154.99656_19.52370,True
364,-155.00406_19.51809,True
365,-155.00417_19.51827,True
366,-155.00169_19.51148,True
367,-155.00181_19.51167,True
368,-154.99870_19.51490,True
369,-154.99916_19.51566,True
370,-154.99672_19.51727,True
371,-154.99995_19.52260,True
372,-154.99102_19.52214,True
373,-154.99009_19.52060,True
374,-155.00673_19.51688,True
375,-154.99055_19.52576,True
376,-154.99132_19.52530,True
377,-155.00100_19.51975,True
378,-155.00148_19.51948,True
379,-155.00138_19.51473,True
380,-155.00126_19.51454,True
381,-155.00967_19.51147,True
382,-155.07650_19.47903,True
383,-155.06522_19.50603,True
384,-155.08284_19.51060,True
385,-155.09527_19.50995,True
386,-155.06066_19.49855,True
387,-155.06990_19.49417,True
388,-155.07301_19.50407,True
389,-155.05911_19.49093,True
390,-155.09977_19.49490,True
391,-155.05667_19.48688,True
392,-155.09945_19.47922,True
393,-155.07745_19.50676,True
394,-155.06084_19.49375,True
395,-155.06638_19.50288,True
396,-155.03691_19.50188,True
397,-155.05119_19.48690,True
398,-155.03778_19.49849,True
399,-155.00875_19.50994,True
400,-155.00864_19.50975,True
401,-155.00427_19.51008,True
402,-155.00985_19.50986,True
403,-155.00648_19.50889,True
404,-155.00846_19.50756,True
405,-155.00809_19.50720,True
406,-155.00755_19.50983,True
407,-155.00743_19.50964,True
408,-155.00720_19.50926,True
409,-155.00950_19.50929,True
410,-155.00634_19.50972,True
411,-155.00841_19.50937,True
412,-155.00818_19.50898,True
413,-155.00263_19.51016,True
414,-155.00806_19.50879,True
415,-155.00485_19.50895,True
416,-155.00526_19.50873,True
417,-155.00384_19.50950,True
418,-155.00404_19.50939,True
419,-155.00562_19.50935,True
420,-155.09065_19.51867,True
421,-155.04944_19.51767,True
422,-155.02639_19.51426,True
423,-155.08527_19.53924,True
424,-155.08314_19.53083,True
425,-155.08825_19.53918,True
426,-155.09249_19.54130,True
427,-155.08796_19.52882,True
428,-155.06583_19.51319,True
429,-155.09030_19.54251,True
430,-155.08782_19.53847,True
431,-155.08340_19.52135,True
432,-155.07532_19.52287,True
433,-155.08642_19.54116,True
434,-155.08046_19.53135,True
435,-155.08897_19.53559,True
436,-155.09481_19.52542,True
437,-155.08237_19.51970,True
438,-155.07496_19.52599,True
439,-155.07663_19.51521,True
440,-155.06408_19.53191,True
441,-155.08512_19.51947,True
442,-155.08611_19.51609,True
443,-155.08107_19.53599,True
444,-155.07418_19.52879,True
445,-155.08511_19.51442,True
446,-155.09006_19.52246,True
447,-155.08412_19.52255,True
448,-155.04874_19.53629,True
449,-155.05636_19.53896,True
450,-155.08287_19.53897,True
451,-155.08410_19.51782,True
452,-155.08380_19.51734,True
453,-155.07790_19.53485,True
454,-154.99591_19.52591,True
455,-154.99089_19.51814,True
456,-155.00207_19.52044,True
457,-155.00218_19.52063,True
458,-155.00230_19.52082,True
459,-155.00263_19.52135,True
460,-155.00311_19.52130,True
461,-155.00301_19.52114,True
462,-154.99143_19.51629,True
463,-154.99203_19.51596,True
464,-154.99215_19.51645,True
465,-154.99250_19.51702,True
466,-154.99274_19.51740,True
467,-155.00047_19.52158,True
468,-154.99814_19.51774,True
469,-154.99864_19.51773,True
470,-155.03566_19.52957,True
471,-155.02864_19.51604,True
472,-155.05125_19.53539,True
473,-155.08875_19.52034,True
474,-155.03589_19.52994,True
475,-155.07603_19.54163,True
476,-155.09055_19.54483,True
477,-155.02699_19.53883,True
478,-155.09066_19.54501,True
479,-155.00348_19.51254,True
480,-155.00336_19.51235,True
481,-154.99092_19.51713,True
482,-154.99332_19.51835,True
483,-154.99632_19.52602,True
484,-154.99586_19.51385,True
485,-154.99606_19.51374,True
486,-154.99626_19.51363,True
487,-155.01109_19.51653,True
488,-155.00035_19.52139,True
489,-155.01210_19.51549,True
490,-155.00861_19.51053,True
491,-154.99627_19.51571,True
492,-154.99604_19.51533,True
493,-155.00475_19.51465,True
494,-154.99701_19.51505,True
495,-155.00261_19.51864,True
496,-155.00212_19.51407,True
497,-155.00594_19.51933,True
498,-154.99321_19.51817,True
499,-154.99283_19.51838,True
500,-154.99271_19.51818,True
501,-155.01057_19.51378,True
502,-155.01092_19.51436,True
503,-155.01103_19.51455,True
504,-154.99433_19.51525,True
505,-155.00060_19.51126,True
506,-155.00083_19.51195,True
507,-154.99843_19.52116,True
508,-154.99914_19.52128,True
509,-154.99926_19.52147,True
510,-154.99938_19.52166,True
511,-154.99949_19.52185,True
512,-154.99250_19.52541,True
513,-154.99261_19.52560,True
514,-155.00758_19.51744,True
515,-155.00189_19.51369,True
516,-154.99640_19.52616,True
517,-155.00379_19.51390,True
518,-154.99415_19.52349,True
519,-154.99346_19.52616,True
520,-154.99013_19.51879,True
521,-154.99025_19.51898,True
522,-154.99022_19.51976,True
523,-155.00941_19.51670,True
524,-154.99457_19.51563,True
525,-154.99469_19.51582,True
526,-154.99386_19.51551,True
527,-154.99567_19.52497,True
528,-155.00600_19.51295,True
529,-154.99569_19.51476,True
530,-154.99599_19.52276,True
531,-154.99684_19.52228,True
532,-154.99672_19.52208,True
533,-155.00849_19.51516,True
534,-154.99434_19.52713,True
535,-154.99458_19.52734,True
536,-154.99015_19.52338,True
537,-154.99050_19.52396,True
538,-154.99061_19.52414,True
539,-155.00591_19.51174,True
540,-155.00351_19.51532,True
541,-155.00374_19.51570,True
542,-154.99274_19.52200,True
543,-154.99285_19.52219,True
544,-154.99332_19.52295,True
545,-154.99343_19.52314,True
546,-154.99192_19.52445,True
547,-154.99113_19.51852,True
548,-155.00058_19.51717,True
549,-155.00824_19.51098,True
550,-154.99358_19.52255,True
551,-155.00017_19.51463,True
552,-154.99276_19.52501,True
553,-154.99945_19.51908,True
554,-154.99911_19.51850,True
555,-155.00203_19.51768,True
556,-155.00191_19.51749,True
557,-155.00180_19.51730,True
558,-155.00070_19.51736,True
559,-155.00764_19.51461,True
560,-154.99771_19.51620,True
561,-154.99223_19.51585,True
562,-155.00133_19.51654,True
563,-154.99366_19.51892,True
564,-154.99531_19.51497,True
565,-155.00112_19.51513,True
566,-155.00068_19.51254,True
567,-155.01090_19.51539,True
568,-155.01055_19.51481,True
569,-154.99728_19.52382,True
570,-155.00663_19.51210,True
571,-155.00954_19.51586,True
572,-154.99841_19.51734,True
573,-155.00859_19.51155,True
574,-154.99577_19.51573,True
575,-154.99789_19.51356,True
576,-154.99777_19.51337,True
577,-154.99183_19.51968,True
578,-154.99171_19.51949,True
579,-154.99574_19.51755,True
580,-154.99598_19.51793,True
581,-155.00147_19.52051,True
582,-154.99868_19.51231,True
583,-154.99646_19.52249,True
584,-154.99463_19.52324,True
585,-154.99160_19.52309,True
586,-155.00227_19.51703,True
587,-154.99016_19.52673,True
588,-155.01071_19.51696,True
589,-154.99403_19.51848,True
590,-154.99473_19.51963,True
591,-155.00832_19.51195,True
592,-154.99582_19.52438,True
593,-154.99559_19.52399,True
594,-155.00893_19.51213,True
595,-155.00386_19.51589,True
596,-155.00409_19.51628,True
597,-155.00389_19.51028,True
598,-154.99111_19.52311,True
599,-155.00277_19.51702,True
600,-155.00254_19.51664,True
601,-154.99633_19.51851,True
602,-155.00170_19.51609,True
603,-154.99220_19.52303,True
604,-155.00067_19.51919,True
605,-154.99258_19.52282,True
606,-154.99246_19.52263,True
607,-154.99223_19.52225,True
608,-154.99211_19.52206,True
609,-154.99980_19.51965,True
610,-154.99758_19.52162,True
611,-155.00613_19.51965,True
612,-155.00642_19.51929,True
613,-155.00880_19.51652,True
614,-155.00891_19.51671,True
615,-154.99721_19.51726,True
616,-154.99709_19.51706,True
617,-155.00734_19.51706,True
618,-154.99667_19.51907,True
619,-154.99678_19.51926,True
620,-154.99701_19.51964,True
621,-154.99828_19.52276,True
622,-155.00465_19.51343,True
623,-155.02256_19.51300,True
624,-154.99397_19.52513,True
625,-154.99362_19.52455,True
626,-155.00981_19.51547,True
627,-155.00992_19.51566,True
628,-154.99315_19.51997,True
629,-154.99274_19.51638,True
630,-154.99238_19.52142,True
631,-154.99148_19.52290,True
632,-154.99137_19.52271,True
633,-154.99173_19.52226,True
634,-154.99197_19.52265,True
635,-154.99208_19.52284,True
636,-155.00926_19.51729,True
637,-154.99280_19.51939,True
638,-154.99257_19.51901,True
639,-154.99246_19.51883,True
640,-154.99294_19.51856,True
641,-154.99340_19.51932,True
642,-154.99363_19.51971,True
643,-154.99375_19.51990,True
644,-155.00221_19.51985,True
645,-154.99561_19.51838,True
646,-154.99550_19.51819,True
647,-155.00445_19.51227,True
648,-155.00422_19.51189,True
649,-155.00539_19.51278,True
650,-155.00690_19.51903,True
651,-155.00216_19.52161,True
652,-154.99808_19.51577,True
653,-154.99819_19.51596,True
654,-154.99854_19.51653,True
655,-154.99866_19.51672,True
656,-154.99913_19.51749,True
657,-154.99073_19.52652,True
658,-154.99121_19.52700,True
659,-154.99700_19.52443,True
660,-154.99311_19.52179,True
661,-154.99347_19.52132,True
662,-154.99359_19.52152,True
663,-154.99610_19.52190,True
664,-155.00186_19.51928,True
665,-154.99620_19.52502,True
666,-155.00401_19.51531,True
667,-155.00389_19.51512,True
668,-154.9932_19.52656,True
669,-155.00796_19.51240,True
670,-154.99472_19.52445,True
671,-154.99486_19.52362,True
672,-154.99770_19.52181,True
673,-154.99201_19.52645,True
674,-154.99213_19.52664,True
675,-154.99224_19.52683,True
676,-154.99982_19.51300,True
677,-154.99959_19.51262,True
678,-154.99779_19.52278,True
679,-154.99791_19.52297,True
680,-154.99814_19.52335,True
681,-154.99845_19.52385,True
682,-154.99873_19.52349,True
683,-154.99405_19.52228,True
684,-154.99138_19.51789,True
685,-154.99553_19.52199,True
686,-154.99518_19.52142,True
687,-154.99765_19.52361,True
688,-154.99754_19.52342,True
689,-154.99742_19.52323,True
690,-155.01087_19.51616,True
691,-155.01098_19.51635,True
692,-155.00078_19.51833,True
693,-155.00090_19.51852,True
694,-155.00102_19.51872,True
695,-155.00113_19.51891,True
696,-155.00125_19.51910,True
697,-155.00174_19.51909,True
698,-154.99316_19.52378,True
699,-155.01281_19.51560,True
700,-154.99355_19.52333,True
701,-154.99774_19.52001,True
702,-154.99745_19.52693,True
703,-154.99253_19.52463,True
704,-154.99417_19.52247,True
705,-154.99373_19.52092,True
706,-154.99038_19.52560,True
707,-154.99728_19.51924,True
708,-154.99753_19.51860,True
709,-155.00463_19.52005,True
710,-154.99465_19.52628,True
711,-155.00627_19.51611,True
712,-155.00651_19.51650,True
713,-154.99652_19.52447,True
714,-154.99806_19.52137,True
715,-154.99829_19.52175,True
716,-154.99693_19.52325,True
717,-154.99704_19.52344,True
718,-154.99136_19.52717,True
719,-155.00381_19.51873,True
720,-154.99435_19.52466,True
721,-154.99458_19.52504,True
722,-154.99475_19.52343,True
723,-154.99501_19.52303,True
724,-154.99489_19.52284,True
725,-154.99478_19.52265,True
726,-154.99431_19.52188,True
727,-154.99385_19.52112,True
728,-154.99445_19.52105,True
729,-154.99324_19.51636,True
730,-154.99589_19.51696,True
731,-155.00509_19.51039,True
732,-155.00736_19.51603,True
733,-155.00959_19.51405,True
734,-155.00971_19.51425,True
735,-155.00982_19.51444,True
736,-154.99176_19.52148,True
737,-155.00568_19.51989,True
738,-155.00900_19.51412,True
739,-155.00183_19.52005,True
740,-154.99708_19.52163,True
741,-155.00811_19.51537,True
742,-154.99041_19.52196,True
743,-154.99152_19.52734,True
744,-154.99141_19.52091,True
745,-154.99654_19.51429,True
746,-155.00285_19.51339,True
747,-155.00563_19.51799,True
748,-155.00478_19.51844,True
749,-155.00467_19.51825,True
750,-154.99980_19.51483,True
751,-155.00121_19.52090,True
752,-155.00145_19.52129,True
753,-155.00040_19.51501,True
754,-154.99493_19.52562,True
755,-155.01356_19.51496,True
756,-154.99864_19.52233,True
757,-154.99920_19.52324,True
758,-154.99930_19.52340,True
759,-154.99968_19.52319,True
760,-154.99958_19.52303,True
761,-154.99948_19.52287,True
762,-155.00182_19.51060,True
763,-155.00340_19.52073,True
764,-155.00388_19.52069,True
765,-155.00377_19.52052,True
766,-155.00366_19.52034,True
767,-155.01148_19.51152,True
768,-155.01160_19.51171,True
769,-155.01215_19.51369,True
770,-155.01310_19.51419,True
771,-155.00507_19.51600,True
772,-155.00530_19.51639,True
773,-155.00579_19.51637,True
774,-155.00567_19.51618,True
775,-154.99422_19.52066,True
776,-154.99424_19.51988,True
777,-154.99088_19.52375,True
778,-154.99041_19.52298,True
779,-154.99030_19.52279,True
780,-154.99018_19.52260,True
781,-155.00029_19.51940,True
782,-154.99722_19.51621,True
783,-155.00985_19.51743,True
784,-154.99264_19.52102,True
785,-154.99253_19.52083,True
786,-154.99143_19.52549,True
787,-154.99670_19.51830,True
788,-154.99659_19.51811,True
789,-154.99647_19.51792,True
790,-154.99255_19.52360,True
791,-154.99266_19.52379,True
792,-154.99339_19.52416,True
793,-154.99181_19.52529,True
794,-155.00313_19.51197,True
795,-155.00267_19.51581,True
796,-155.00278_19.51599,True
797,-155.01166_19.51370,True
798,-154.99104_19.52623,True
799,-154.99335_19.52113,True
800,-155.00367_19.51370,True
801,-154.99387_19.52009,True
802,-154.99398_19.52028,True
803,-155.00015_19.52292,True
804,-154.99968_19.51464,True
805,-154.99122_19.51950,True
806,-154.99134_19.51970,True
807,-154.99145_19.51989,True
808,-155.00168_19.51711,True
809,-154.99286_19.52701,True
810,-155.00343_19.51894,True
811,-155.00192_19.51186,True
812,-154.9916_19.51929,True
813,-155.00162_19.51071,True
814,-154.99382_19.52571,True
815,-154.99394_19.52591,True
816,-155.00073_19.52118,True
817,-155.00038_19.52061,True
818,-154.99508_19.52021,True
819,-154.99531_19.52059,True
820,-154.99555_19.52098,True
821,-154.99566_19.52117,True
822,-154.99578_19.52136,True
823,-155.00000_19.51622,True
824,-154.99989_19.51603,True
825,-154.99965_19.51565,True
826,-154.99954_19.51545,True
827,-154.99151_19.52672,True
828,-155.00477_19.51362,True
829,-155.00910_19.51052,True
830,-154.99354_19.51873,True
831,-154.99343_19.51854,True
832,-154.99741_19.51842,True
833,-154.99779_19.51821,True
834,-154.99768_19.51802,True
835,-154.99744_19.51764,True
836,-155.00890_19.51291,True
837,-155.00948_19.51386,True
838,-155.01229_19.51285,True
839,-155.00554_19.51219,True
840,-155.00543_19.51200,True
841,-154.99045_19.52016,True
842,-155.00383_19.51771,True
843,-155.00395_19.51790,True
844,-155.00363_19.51655,True
845,-154.99937_19.52269,True
846,-154.99925_19.52250,True
847,-154.99890_19.52193,True
848,-154.98769_19.52099,True
849,-154.98717_19.52014,True
850,-154.98662_19.52600,True
851,-154.98645_19.52584,True
852,-154.98860_19.52447,True
853,-154.98306_19.52713,True
854,-154.98843_19.51870,True
855,-154.98618_19.52423,True
856,-154.98869_19.51831,True
857,-154.98869_19.52531,True
858,-154.98957_19.52242,True
859,-154.98945_19.52223,True
860,-154.98678_19.52078,True
861,-154.98719_19.52177,True
862,-154.98467_19.52471,True
863,-154.98412_19.52490,True
864,-154.98462_19.52600,True
865,-154.98694_19.52230,True
866,-154.98603_19.52089,True
867,-154.98586_19.52392,True
868,-154.98360_19.52632,True
869,-154.98609_19.52339,True
870,-154.98625_19.52355,True
871,-154.98658_19.52387,True
872,-154.98955_19.51785,True
873,-154.98795_19.52105,True
874,-154.98899_19.52350,True
875,-154.98915_19.52366,True
876,-154.98946_19.52399,True
877,-154.98663_19.52660,True
878,-154.98679_19.52676,True
879,-154.98765_19.52566,True
880,-154.98749_19.52550,True
881,-154.98984_19.52642,True
882,-154.98817_19.52012,True
883,-154.98629_19.52568,True
884,-154.98685_19.52548,True
885,-154.98701_19.52563,True
886,-154.98798_19.52597,True
887,-154.98781_19.52581,True
888,-154.98980_19.52280,True
889,-154.98402_19.52748,True
890,-154.98925_19.52106,True
891,-154.98571_19.52242,True
892,-154.98820_19.51934,True
893,-154.98956_19.52481,True
894,-154.98861_19.51784,True
895,-154.98592_19.52666,True
896,-154.98899_19.52146,True
897,-154.98393_19.52531,True
898,-154.98375_19.52587,True
899,-154.98424_19.52635,True
900,-154.98376_19.52648,True
901,-154.98850_19.52303,True
902,-154.98484_19.52278,True
903,-154.98520_19.52221,True
904,-154.98673_19.52342,True
905,-154.98656_19.52326,True
906,-154.98640_19.52310,True
907,-154.98591_19.52263,True
908,-154.98718_19.51906,True
909,-154.98990_19.51841,True
910,-154.98924_19.52004,True
911,-154.98913_19.51985,True
912,-154.98889_19.51947,True
913,-154.98878_19.51927,True
914,-154.98365_19.52846,True
915,-154.98427_19.53097,True
916,-154.98113_19.53140,True
917,-154.98097_19.53124,True
918,-154.98137_19.53088,True
919,-154.97424_19.54205,True
920,-154.97439_19.54223,True
921,-154.97455_19.54241,True
922,-154.98651_19.52857,True
923,-155.01820_19.55225,True
924,-154.99792_19.56696,True
925,-154.99590_19.57159,True
926,-154.98751_19.52209,True
927,-154.98768_19.52224,True
928,-154.98651_19.52013,True
929,-154.99002_19.51707,True
930,-154.98921_19.51751,True
