,Uid,In_2017_CP_zone
0,-155.90248_19.47015,True
1,-155.90228_19.46968,True
2,-155.90171_19.47004,True
3,-155.90186_19.47047,True
4,-155.92529_19.45954,True
5,-155.90060_19.46598,True
6,-155.90018_19.46548,True
7,-155.90021_19.46498,True
8,-155.91708_19.47340,True
9,-155.91770_19.47358,True
10,-155.89994_19.46820,True
11,-155.90030_19.46795,True
12,-155.91803_19.47263,True
13,-155.91002_19.46836,True
14,-155.90034_19.46894,True
15,-155.89980_19.46899,True
16,-155.89198_19.45098,True
17,-155.90304_19.47050,True
18,-155.90204_19.46587,True
19,-155.90206_19.46640,True
20,-155.90262_19.46625,True
21,-155.90282_19.46687,True
22,-155.90228_19.46704,True
23,-155.90301_19.46745,True
24,-155.90344_19.46785,True
25,-155.88153_19.44750,True
26,-155.88285_19.44979,True
27,-155.89862_19.47260,True
28,-155.87635_19.42498,True
29,-155.88027_19.44139,True
30,-155.91867_19.47394,True
31,-155.91948_19.47456,True
32,-155.91939_19.47425,True
33,-155.89704_19.46322,True
34,-155.87888_19.43355,True
35,-155.92092_19.47067,True
36,-155.92095_19.46995,True
37,-155.91942_19.47111,True
38,-155.91964_19.46994,True
39,-155.92075_19.46998,True
40,-155.91822_19.47116,True
41,-155.91778_19.47100,True
42,-155.88040_19.45568,True
43,-155.91986_19.47041,True
44,-155.89268_19.45494,True
45,-155.91594_19.47423,True
46,-155.89728_19.47444,True
47,-155.88546_19.42427,True
48,-155.88205_19.45016,True
49,-155.88367_19.45479,True
50,-155.90108_19.46580,True
51,-155.92043_19.47061,True
52,-155.92025_19.46973,True
53,-155.88954_19.43947,True
54,-155.91660_19.47250,True
55,-155.89790_19.45635,True
56,-155.90586_19.46700,True
57,-155.88677_19.44043,True
58,-155.89522_19.47256,True
59,-155.89533_19.47391,True
60,-155.91110_19.42442,True
61,-155.89741_19.47107,True
62,-155.91975_19.44961,True
63,-155.92111_19.46894,True
64,-155.92132_19.46819,True
65,-155.92073_19.46860,True
66,-155.91437_19.47138,True
67,-155.88956_19.44811,True
68,-155.90794_19.46810,True
69,-155.90635_19.46842,True
70,-155.87705_19.43411,True
71,-155.89980_19.46740,True
72,-155.90297_19.46820,True
73,-155.90324_19.46861,True
74,-155.90412_19.46881,True
75,-155.90333_19.46928,True
76,-155.90326_19.46973,True
77,-155.90064_19.46661,True
78,-155.88838_19.45766,True
79,-155.91795_19.47069,True
80,-155.88070_19.44626,True
81,-155.91868_19.47315,True
82,-155.91881_19.47339,True
83,-155.92087_19.46968,True
84,-155.92483_19.46046,True
85,-155.90877_19.46875,True
86,-155.91886_19.47442,True
87,-155.91840_19.47231,True
88,-155.87962_19.44530,True
89,-155.90044_19.46990,True
90,-155.90050_19.46953,True
91,-155.90115_19.46950,True
92,-155.90224_19.46911,True
93,-155.92378_19.46192,True
94,-155.92422_19.45945,True
95,-155.87936_19.44191,True
96,-155.88667_19.43979,True
97,-155.88234_19.44656,True
98,-155.90194_19.46829,True
99,-155.90177_19.46771,True
100,-155.89240_19.43142,True
101,-155.88937_19.43390,True
102,-155.87867_19.42955,True
103,-155.87931_19.43015,True
104,-155.87821_19.43162,True
105,-155.88788_19.43492,True
106,-155.88433_19.42496,True
107,-155.90124_19.47051,True
108,-155.90008_19.46448,True
109,-155.90082_19.46496,True
110,-155.90130_19.46510,True
111,-155.92736_19.48459,True
112,-155.92497_19.51193,True
113,-155.91958_19.48947,True
114,-155.91930_19.48820,True
115,-155.92827_19.51575,True
116,-155.92627_19.51320,True
117,-155.90543_19.48033,True
118,-155.90013_19.48002,True
119,-155.92287_19.48851,True
120,-155.95765_19.54449,True
121,-155.95565_19.52720,True
122,-155.95819_19.54467,True
123,-155.92379_19.48813,True
124,-155.93369_19.50319,True
125,-155.95094_19.50735,True
126,-155.93618_19.54370,True
127,-155.93602_19.54421,True
128,-155.91855_19.49146,True
129,-155.90079_19.47713,True
130,-155.93178_19.53485,True
131,-155.95353_19.50932,True
132,-155.94387_19.57389,True
133,-155.96305_19.56343,True
134,-155.96255_19.56462,True
135,-155.93683_19.55156,True
136,-155.94295_19.57563,True
137,-155.96353_19.56374,True
138,-155.94606_19.57593,True
139,-155.96487_19.56326,True
140,-155.94175_19.57020,True
141,-155.94095_19.56897,True
142,-155.94222_19.57191,True
143,-155.93641_19.54987,True
144,-155.96505_19.56277,True
145,-155.94401_19.57986,True
146,-155.94367_19.57812,True
147,-155.94337_19.57680,True
148,-155.94342_19.57554,True
149,-155.94274_19.57416,True
150,-155.95418_19.55651,True
151,-155.94061_19.56051,True
152,-155.94096_19.56136,True
153,-155.94159_19.56611,True
154,-155.94297_19.57689,True
155,-155.94429_19.57845,True
156,-155.95848_19.54524,True
157,-155.96018_19.56260,True
158,-155.94453_19.57203,True
159,-155.97058_19.58601,True
160,-155.95103_19.58600,True
161,-155.95192_19.58755,True
162,-155.94792_19.58894,True
163,-155.97010_19.59799,True
164,-155.94867_19.59651,True
165,-155.96975_19.58791,True
166,-155.97021_19.58772,True
167,-155.97059_19.58961,True
