,Uid,OSDS_Density_perAcre
0,-159.36249_22.20132,0.109031453729
1,-159.54525_22.22066,0.257710725069
2,-159.42997_22.21426,0.178415104747
3,-159.40776_22.21267,0.614540934563
4,-159.55180_22.20714,0.11894340813200001
5,-159.45370_22.20845,0.00991195067763
6,-159.40686_22.20596,0.654188752174
7,-159.37217_22.21388,0.11894340813200001
8,-159.40879_22.20734,0.67401266098
9,-159.40626_22.20494,0.584805071354
10,-159.49555_22.21149,0.21806290745700002
11,-159.50211_22.20279,0.525333344936
12,-159.50189_22.20302,0.505509495735
13,-159.49347_22.20350,0.346918255091
14,-159.49646_22.20556,0.773132145405
15,-159.50568_22.20036,0.317182421684
16,-159.50447_22.20020,0.386566072702
17,-159.50459_22.20056,0.386566072702
18,-159.49909_22.20509,0.594717025757
19,-159.40691_22.21050,0.802868008614
20,-159.40355_22.21151,0.26762264967
21,-159.40463_22.20752,0.614540934563
22,-159.40496_22.20751,0.614540934563
23,-159.38940_22.20767,0.0892075523734
24,-159.42943_22.18399,0.14867925643899998
25,-159.42986_22.18299,0.14867925643899998
26,-159.49965_22.20224,0.446037769318
27,-159.50320_22.20228,0.48568558692900005
28,-159.49484_22.21291,0.19823901355300003
29,-159.49590_22.21252,0.18832705915
30,-159.49811_22.20475,0.773132145405
31,-159.49781_22.20491,0.792956054211
32,-159.49685_22.20528,0.802868008614
33,-159.54408_22.21768,0.109031453729
34,-159.54715_22.22223,0.396478027105
35,-159.54817_22.22203,0.43612581491499997
36,-159.54858_22.22269,0.49559751153
37,-159.33989_22.18501,0.109031453729
38,-159.31777_22.15893,0.168503165245
39,-159.31705_22.15691,0.257710725069
40,-159.31661_22.15686,0.257710725069
41,-159.31728_22.15815,0.26762264967
42,-159.31083_22.16037,0.29735851287799997
43,-159.30891_22.15962,0.22797486186000002
44,-159.31018_22.16429,0.168503165245
45,-159.31219_22.16566,0.14867925643899998
46,-159.31291_22.16734,0.128855362535
47,-159.34164_22.18872,0.168503165245
48,-159.34616_22.19030,0.18832705915
49,-159.33439_22.18831,0.11894340813200001
50,-159.33391_22.19198,0.29735851287799997
51,-159.33418_22.19381,0.208150953054
52,-159.38609_22.20921,0.09911950677629999
53,-159.37355_22.20105,0.09911950677629999
54,-159.38233_22.19273,0.178415104747
55,-159.35828_22.19403,0.327094376087
56,-159.38796_22.19830,0.158591210842
57,-159.38775_22.19939,0.109031453729
58,-159.38445_22.19215,0.18832705915
59,-159.36370_22.19028,0.22797486186000002
60,-159.35926_22.18886,0.14867925643899998
61,-159.35409_22.19831,0.13876730203600002
62,-159.35513_22.19982,0.13876730203600002
63,-159.39477_22.21995,0.07929560542110001
64,-159.39627_22.21828,0.06938365101810001
65,-159.41602_22.21862,0.109031453729
66,-159.41388_22.22139,0.109031453729
67,-159.41025_22.20874,0.356830209494
68,-159.40973_22.20393,0.327094376087
69,-159.41845_22.21634,0.09911950677629999
70,-159.40759_22.20402,0.406389981508
71,-159.40743_22.20429,0.446037769318
72,-159.40668_22.21029,0.802868008614
73,-159.40605_22.20940,0.763220191002
74,-159.40425_22.20929,0.594717025757
75,-159.40372_22.20853,0.505509495735
76,-159.40500_22.20847,0.644276797771
77,-159.42924_22.19033,0.109031453729
78,-159.42957_22.19111,0.109031453729
79,-159.43213_22.20397,0.059471704065800005
80,-159.43156_22.20658,0.059471704065800005
81,-159.41986_22.21202,0.07929560542110001
