,Uid,LOWINCPCT
0,-155.89725_19.20586,0.2888816433
1,-155.89724_19.20570,0.2888816433
2,-155.90023_19.20875,0.2888816433
3,-155.89958_19.20908,0.2888816433
4,-155.79086_19.10506,0.8055980756610001
5,-155.79047_19.10405,0.8055980756610001
6,-155.75784_19.12333,0.8055980756610001
7,-155.74633_19.11318,0.8055980756610001
8,-155.74723_19.11305,0.8055980756610001
9,-155.75078_19.09273,0.8055980756610001
10,-155.89549_19.20763,0.2888816433
11,-155.89548_19.20741,0.2888816433
12,-155.86389_19.19778,0.2888816433
13,-155.86487_19.19792,0.2888816433
14,-155.47667_19.20571,0.306818181818
15,-155.89268_19.20675,0.2888816433
16,-155.89560_19.20302,0.2888816433
17,-155.77293_19.10842,0.8055980756610001
18,-155.72036_19.13963,0.8055980756610001
19,-155.89778_19.20785,0.2888816433
20,-155.89620_19.20419,0.2888816433
21,-155.89985_19.20658,0.2888816433
22,-155.90019_19.20271,0.2888816433
23,-155.90074_19.20338,0.2888816433
24,-155.90077_19.20371,0.2888816433
25,-155.90080_19.20388,0.2888816433
26,-155.90090_19.20402,0.2888816433
27,-155.89469_19.20448,0.2888816433
28,-155.73909_19.13076,0.8055980756610001
29,-155.76511_19.13142,0.8055980756610001
30,-155.86346_19.19491,0.2888816433
31,-155.47504_19.19330,0.306818181818
32,-155.89932_19.20265,0.2888816433
33,-155.87037_19.21610,0.2888816433
34,-155.74451_19.10638,0.8055980756610001
35,-155.74475_19.10630,0.8055980756610001
36,-155.88396_19.20759,0.2888816433
37,-155.89970_19.20556,0.2888816433
38,-155.76402_19.11357,0.8055980756610001
39,-155.73858_19.10653,0.8055980756610001
40,-155.78360_19.09204,0.8055980756610001
41,-155.75519_19.08632,0.8055980756610001
42,-155.88237_19.19348,0.2888816433
43,-155.75677_19.09078,0.8055980756610001
44,-155.78319_19.11489,0.8055980756610001
45,-155.89999_19.20441,0.2888816433
46,-155.89987_19.20515,0.2888816433
47,-155.73774_19.10733,0.8055980756610001
48,-155.78712_19.10078,0.8055980756610001
49,-155.79418_19.09762,0.8055980756610001
50,-155.79560_19.09958,0.8055980756610001
51,-155.75358_19.08409,0.8055980756610001
52,-155.79207_19.11453,0.8055980756610001
53,-155.77730_19.12679,0.8055980756610001
54,-155.86303_19.19663,0.2888816433
