,Uid,In_WellCZ_B
0,-155.76408_19.08738,True
1,-155.76610_19.08870,True
2,-155.76574_19.09562,True
3,-155.76557_19.09003,True
4,-155.76301_19.09707,True
5,-155.76630_19.09527,True
6,-155.76890_19.09458,True
7,-155.76226_19.08907,True
8,-155.76820_19.09604,True
9,-155.76814_19.09586,True
10,-155.76870_19.10107,True
11,-155.76422_19.10046,True
12,-155.76958_19.10096,True
13,-155.76817_19.10035,True
14,-155.76444_19.09000,True
15,-155.76474_19.09071,True
16,-155.76655_19.09012,True
17,-155.76584_19.09076,True
18,-155.76746_19.08870,True
19,-155.76590_19.09651,True
20,-155.76237_19.09538,True
21,-155.76983_19.10169,True
22,-155.76350_19.09501,True
23,-155.76326_19.09437,True
24,-155.76898_19.10267,True
25,-155.76971_19.09378,True
26,-155.76303_19.09400,True
27,-155.76934_19.09274,True
28,-155.76945_19.09305,True
29,-155.76654_19.10345,True
30,-155.76894_19.10179,True
31,-155.76266_19.08757,True
32,-155.76850_19.09041,True
33,-155.76864_19.09192,True
34,-155.76532_19.09252,True
35,-155.76457_19.09693,True
36,-155.76957_19.09005,True
37,-155.76479_19.08937,True
38,-155.87740_19.46316,True
39,-155.88040_19.45568,True
40,-155.88367_19.45479,True
41,-155.87772_19.45744,True
42,-155.87987_19.45896,True
43,-155.87555_19.44413,True
44,-155.87703_19.46084,True
45,-155.88838_19.45766,True
46,-155.87962_19.44530,True
47,-155.91142_19.51080,True
48,-155.91564_19.51036,True
49,-155.91109_19.51090,True
50,-155.90907_19.51145,True
51,-155.91315_19.51079,True
52,-155.91316_19.51019,True
53,-155.91269_19.51043,True
54,-155.91227_19.51068,True
55,-155.91315_19.51051,True
56,-155.94401_19.57986,True
57,-155.95103_19.58600,True
58,-155.94792_19.58894,True
59,-155.94705_19.58698,True
60,-155.95256_19.58435,True
61,-155.94117_19.58918,True
62,-155.94439_19.58201,True
63,-155.10306_19.55527,True
64,-155.10452_19.55401,True
65,-155.00204_19.51205,True
66,-155.00201_19.51283,True
67,-155.00178_19.51245,True
68,-155.00166_19.51226,True
69,-154.99870_19.51490,True
70,-154.99916_19.51566,True
71,-155.00138_19.51473,True
72,-155.00126_19.51454,True
73,-155.10340_19.55600,True
74,-155.10287_19.55589,True
75,-154.95724_19.50859,True
76,-155.00348_19.51254,True
77,-155.00336_19.51235,True
78,-154.99586_19.51385,True
79,-154.99606_19.51374,True
80,-154.99626_19.51363,True
81,-155.01210_19.51549,True
82,-154.99627_19.51571,True
83,-154.99604_19.51533,True
84,-155.00475_19.51465,True
85,-154.99701_19.51505,True
86,-155.00212_19.51407,True
87,-155.01057_19.51378,True
88,-155.01092_19.51436,True
89,-155.01103_19.51455,True
90,-154.99433_19.51525,True
91,-155.00189_19.51369,True
92,-155.00379_19.51390,True
93,-154.99457_19.51563,True
94,-154.99469_19.51582,True
95,-154.99386_19.51551,True
96,-155.00600_19.51295,True
97,-154.99569_19.51476,True
98,-155.00849_19.51516,True
99,-155.00351_19.51532,True
100,-155.00017_19.51463,True
101,-155.00764_19.51461,True
102,-154.99223_19.51585,True
103,-154.99531_19.51497,True
104,-155.00112_19.51513,True
105,-155.00068_19.51254,True
106,-155.01090_19.51539,True
107,-155.01055_19.51481,True
108,-155.00663_19.51210,True
109,-154.99577_19.51573,True
110,-154.99789_19.51356,True
111,-154.99777_19.51337,True
112,-154.99868_19.51231,True
113,-155.00832_19.51195,True
114,-155.00893_19.51213,True
115,-155.00465_19.51343,True
116,-155.00981_19.51547,True
117,-155.00445_19.51227,True
118,-155.00539_19.51278,True
119,-155.00401_19.51531,True
120,-155.00389_19.51512,True
121,-155.00796_19.51240,True
122,-154.99982_19.51300,True
123,-154.99959_19.51262,True
124,-155.00959_19.51405,True
125,-155.00971_19.51425,True
126,-155.00982_19.51444,True
127,-155.00900_19.51412,True
128,-155.00811_19.51537,True
129,-154.99654_19.51429,True
130,-155.00285_19.51339,True
131,-154.99980_19.51483,True
132,-155.00040_19.51501,True
133,-155.01160_19.51171,True
134,-155.01215_19.51369,True
135,-155.01310_19.51419,True
136,-155.00313_19.51197,True
137,-155.01166_19.51370,True
138,-155.00367_19.51370,True
139,-154.99968_19.51464,True
140,-154.99965_19.51565,True
141,-154.99954_19.51545,True
142,-155.00477_19.51362,True
143,-155.00890_19.51291,True
144,-155.00948_19.51386,True
145,-155.01229_19.51285,True
146,-155.00554_19.51219,True
147,-155.00543_19.51200,True
148,-154.95900_19.51112,True
149,-154.92596_19.52207,True
150,-154.92457_19.52287,True
151,-155.94049_19.61655,True
152,-155.94888_19.61523,True
153,-155.94683_19.61482,True
154,-155.94779_19.61565,True
155,-155.94772_19.61456,True
156,-155.94605_19.61622,True
157,-155.94192_19.61645,True
158,-155.94447_19.61482,True
159,-155.94334_19.61678,True
160,-155.94994_19.64774,True
161,-155.95161_19.64817,True
162,-155.94738_19.64844,True
163,-155.94702_19.64938,True
164,-155.05638_19.63213,True
165,-155.05241_19.63363,True
166,-155.05367_19.63293,True
167,-155.05185_19.63300,True
168,-155.05140_19.63361,True
169,-155.05502_19.63215,True
170,-155.05300_19.63224,True
171,-155.03916_19.63087,True
172,-155.03644_19.62947,True
173,-155.05499_19.60921,True
174,-155.05249_19.63254,True
175,-155.08360_19.66962,True
176,-155.08355_19.66904,True
177,-155.08651_19.66972,True
178,-155.08298_19.66863,True
179,-155.08307_19.66956,True
180,-155.08217_19.67002,True
181,-155.09437_19.67285,True
182,-155.09439_19.67312,True
183,-155.08658_19.67061,True
184,-155.08841_19.67046,True
185,-155.08802_19.67061,True
186,-155.08115_19.66877,True
187,-155.07514_19.66915,True
188,-155.07176_19.67095,True
189,-155.07558_19.64887,True
190,-155.07260_19.66965,True
191,-155.07314_19.66961,True
192,-155.07316_19.66991,True
193,-155.07319_19.67022,True
194,-155.07321_19.67052,True
195,-155.07361_19.67050,True
196,-155.07356_19.66988,True
197,-155.07354_19.66958,True
198,-155.07410_19.66985,True
199,-155.08080_19.66981,True
200,-155.07423_19.65092,True
201,-155.07665_19.64980,True
202,-155.07413_19.67015,True
203,-155.07415_19.67046,True
204,-155.07386_19.65061,True
205,-155.96086_19.70451,True
206,-155.97167_19.69388,True
207,-155.97052_19.70314,True
208,-155.97072_19.70383,True
209,-155.97236_19.69335,True
210,-155.96403_19.70478,True
211,-155.98079_19.72947,True
