,Uid,CESSPOOL_Density_perAcre
0,-159.36249_22.20132,0.029735852032900002
1,-159.54525_22.22066,0.535245299339
2,-159.42997_22.21426,0.168503165245
3,-159.40776_22.21267,1.08040261269
4,-159.55180_22.20714,0.07929560542110001
5,-159.45370_22.20845,0.0
6,-159.40686_22.20596,1.95265424252
7,-159.37217_22.21388,0.0198239013553
8,-159.40879_22.20734,2.10133337975
9,-159.40626_22.20494,1.20925796032
10,-159.49555_22.21149,0.109031453729
11,-159.50211_22.20279,0.664100706577
12,-159.50189_22.20302,0.664100706577
13,-159.49347_22.20350,0.376654118299
14,-159.49646_22.20556,0.8821635842319999
15,-159.50568_22.20036,0.564981162548
16,-159.50447_22.20020,0.624452888966
17,-159.50459_22.20056,0.664100706577
18,-159.49909_22.20509,0.8623396754260001
19,-159.40691_22.21050,2.60684299469
20,-159.40355_22.21151,1.2191698551199999
21,-159.40463_22.20752,2.02203798294
22,-159.40496_22.20751,2.2401008606
23,-159.38940_22.20767,0.029735852032900002
24,-159.42943_22.18399,0.029735852032900002
25,-159.42986_22.18299,0.029735852032900002
26,-159.49965_22.20224,0.5550692081449999
27,-159.50320_22.20228,0.763220191002
28,-159.49484_22.21291,0.11894340813200001
29,-159.49590_22.21252,0.11894340813200001
30,-159.49811_22.20475,1.00110697746
31,-159.49781_22.20491,0.961459219456
32,-159.49685_22.20528,0.961459219456
33,-159.54408_22.21768,0.13876730203600002
34,-159.54715_22.22223,0.713660418987
35,-159.54817_22.22203,0.783044099808
36,-159.54858_22.22269,0.832603812218
37,-159.33989_22.18501,0.029735852032900002
38,-159.31777_22.15893,0.11894340813200001
39,-159.31728_22.15815,0.128855362535
40,-159.31083_22.16037,0.19823901355300003
41,-159.30891_22.15962,0.22797486186000002
42,-159.31018_22.16429,0.11894340813200001
43,-159.31219_22.16566,0.0396478027105
44,-159.31291_22.16734,0.0198239013553
45,-159.34164_22.18872,0.059471704065800005
46,-159.34616_22.19030,0.0396478027105
47,-159.33439_22.18831,0.06938365101810001
48,-159.33391_22.19198,0.23788681626299998
49,-159.33418_22.19381,0.168503165245
50,-159.38609_22.20921,0.0
51,-159.37355_22.20105,0.029735852032900002
52,-159.38233_22.19273,0.029735852032900002
53,-159.35828_22.19403,0.0396478027105
54,-159.38796_22.19830,0.029735852032900002
55,-159.38775_22.19939,0.00991195067763
